Pavardė            Vardas              Galutinis (vid.)    
Pavardė289        Vardas289           2.28                
Pavardė261        Vardas261           2.29                
Pavardė324        Vardas324           2.32                
Pavardė519        Vardas519           2.32                
Pavardė914        Vardas914           2.32                
Pavardė145        Vardas145           2.32                
Pavardė527        Vardas527           2.33                
Pavardė753        Vardas753           2.33                
Pavardė504        Vardas504           2.33                
Pavardė917        Vardas917           2.35                
Pavardė236        Vardas236           2.35                
Pavardė479        Vardas479           2.36                
Pavardė151        Vardas151           2.37                
Pavardė366        Vardas366           2.37                
Pavardė304        Vardas304           2.39                
Pavardė766        Vardas766           2.39                
Pavardė833        Vardas833           2.40                
Pavardė242        Vardas242           2.40                
Pavardė102        Vardas102           2.40                
Pavardė312        Vardas312           2.41                
Pavardė125        Vardas125           2.44                
Pavardė331        Vardas331           2.44                
Pavardė573        Vardas573           2.44                
Pavardė353        Vardas353           2.47                
Pavardė225        Vardas225           2.48                
Pavardė676        Vardas676           2.49                
Pavardė933        Vardas933           2.52                
Pavardė735        Vardas735           2.52                
Pavardė11         Vardas11            2.52                
Pavardė643        Vardas643           2.52                
Pavardė580        Vardas580           2.53                
Pavardė738        Vardas738           2.53                
Pavardė877        Vardas877           2.55                
Pavardė61         Vardas61            2.55                
Pavardė214        Vardas214           2.55                
Pavardė392        Vardas392           2.55                
Pavardė25         Vardas25            2.55                
Pavardė284        Vardas284           2.55                
Pavardė416        Vardas416           2.56                
Pavardė961        Vardas961           2.57                
Pavardė258        Vardas258           2.57                
Pavardė247        Vardas247           2.59                
Pavardė925        Vardas925           2.59                
Pavardė244        Vardas244           2.59                
Pavardė865        Vardas865           2.59                
Pavardė501        Vardas501           2.60                
Pavardė840        Vardas840           2.61                
Pavardė163        Vardas163           2.63                
Pavardė113        Vardas113           2.63                
Pavardė395        Vardas395           2.63                
Pavardė870        Vardas870           2.65                
Pavardė412        Vardas412           2.67                
Pavardė839        Vardas839           2.68                
Pavardė763        Vardas763           2.69                
Pavardė555        Vardas555           2.69                
Pavardė461        Vardas461           2.71                
Pavardė181        Vardas181           2.71                
Pavardė152        Vardas152           2.72                
Pavardė508        Vardas508           2.72                
Pavardė178        Vardas178           2.72                
Pavardė147        Vardas147           2.73                
Pavardė867        Vardas867           2.73                
Pavardė470        Vardas470           2.73                
Pavardė368        Vardas368           2.73                
Pavardė71         Vardas71            2.73                
Pavardė1          Vardas1             2.75                
Pavardė84         Vardas84            2.75                
Pavardė402        Vardas402           2.75                
Pavardė815        Vardas815           2.76                
Pavardė767        Vardas767           2.76                
Pavardė474        Vardas474           2.76                
Pavardė598        Vardas598           2.76                
Pavardė777        Vardas777           2.77                
Pavardė881        Vardas881           2.79                
Pavardė654        Vardas654           2.79                
Pavardė94         Vardas94            2.79                
Pavardė315        Vardas315           2.79                
Pavardė121        Vardas121           2.80                
Pavardė164        Vardas164           2.80                
Pavardė788        Vardas788           2.80                
Pavardė549        Vardas549           2.80                
Pavardė782        Vardas782           2.80                
Pavardė411        Vardas411           2.81                
Pavardė358        Vardas358           2.81                
Pavardė60         Vardas60            2.81                
Pavardė67         Vardas67            2.83                
Pavardė821        Vardas821           2.84                
Pavardė998        Vardas998           2.85                
Pavardė232        Vardas232           2.85                
Pavardė238        Vardas238           2.85                
Pavardė52         Vardas52            2.87                
Pavardė785        Vardas785           2.87                
Pavardė531        Vardas531           2.88                
Pavardė481        Vardas481           2.91                
Pavardė330        Vardas330           2.91                
Pavardė875        Vardas875           2.91                
Pavardė625        Vardas625           2.92                
Pavardė781        Vardas781           2.93                
Pavardė975        Vardas975           2.95                
Pavardė259        Vardas259           2.95                
Pavardė319        Vardas319           2.95                
Pavardė45         Vardas45            2.97                
Pavardė586        Vardas586           2.99                
Pavardė761        Vardas761           2.99                
Pavardė878        Vardas878           2.99                
Pavardė741        Vardas741           3.01                
Pavardė307        Vardas307           3.01                
Pavardė193        Vardas193           3.01                
Pavardė235        Vardas235           3.04                
Pavardė963        Vardas963           3.04                
Pavardė435        Vardas435           3.04                
Pavardė692        Vardas692           3.04                
Pavardė158        Vardas158           3.04                
Pavardė756        Vardas756           3.04                
Pavardė254        Vardas254           3.05                
Pavardė106        Vardas106           3.07                
Pavardė572        Vardas572           3.09                
Pavardė101        Vardas101           3.09                
Pavardė355        Vardas355           3.12                
Pavardė43         Vardas43            3.12                
Pavardė26         Vardas26            3.12                
Pavardė948        Vardas948           3.12                
Pavardė475        Vardas475           3.12                
Pavardė341        Vardas341           3.15                
Pavardė255        Vardas255           3.15                
Pavardė155        Vardas155           3.15                
Pavardė337        Vardas337           3.15                
Pavardė533        Vardas533           3.15                
Pavardė401        Vardas401           3.15                
Pavardė410        Vardas410           3.15                
Pavardė204        Vardas204           3.15                
Pavardė744        Vardas744           3.16                
Pavardė827        Vardas827           3.17                
Pavardė758        Vardas758           3.17                
Pavardė466        Vardas466           3.19                
Pavardė725        Vardas725           3.19                
Pavardė994        Vardas994           3.20                
Pavardė724        Vardas724           3.20                
Pavardė13         Vardas13            3.21                
Pavardė9          Vardas9             3.23                
Pavardė351        Vardas351           3.23                
Pavardė379        Vardas379           3.23                
Pavardė605        Vardas605           3.23                
Pavardė714        Vardas714           3.28                
Pavardė66         Vardas66            3.28                
Pavardė854        Vardas854           3.29                
Pavardė293        Vardas293           3.31                
Pavardė159        Vardas159           3.31                
Pavardė635        Vardas635           3.31                
Pavardė524        Vardas524           3.32                
Pavardė459        Vardas459           3.33                
Pavardė421        Vardas421           3.33                
Pavardė667        Vardas667           3.35                
Pavardė173        Vardas173           3.35                
Pavardė814        Vardas814           3.36                
Pavardė627        Vardas627           3.36                
Pavardė137        Vardas137           3.36                
Pavardė903        Vardas903           3.37                
Pavardė516        Vardas516           3.37                
Pavardė860        Vardas860           3.40                
Pavardė680        Vardas680           3.40                
Pavardė419        Vardas419           3.41                
Pavardė768        Vardas768           3.41                
Pavardė872        Vardas872           3.43                
Pavardė453        Vardas453           3.44                
Pavardė619        Vardas619           3.45                
Pavardė105        Vardas105           3.45                
Pavardė439        Vardas439           3.45                
Pavardė446        Vardas446           3.47                
Pavardė687        Vardas687           3.47                
Pavardė364        Vardas364           3.47                
Pavardė743        Vardas743           3.48                
Pavardė420        Vardas420           3.48                
Pavardė28         Vardas28            3.49                
Pavardė615        Vardas615           3.49                
Pavardė157        Vardas157           3.52                
Pavardė561        Vardas561           3.53                
Pavardė610        Vardas610           3.53                
Pavardė727        Vardas727           3.53                
Pavardė205        Vardas205           3.53                
Pavardė486        Vardas486           3.55                
Pavardė143        Vardas143           3.55                
Pavardė513        Vardas513           3.55                
Pavardė149        Vardas149           3.56                
Pavardė844        Vardas844           3.57                
Pavardė90         Vardas90            3.57                
Pavardė951        Vardas951           3.57                
Pavardė299        Vardas299           3.59                
Pavardė298        Vardas298           3.59                
Pavardė590        Vardas590           3.59                
Pavardė432        Vardas432           3.60                
Pavardė32         Vardas32            3.61                
Pavardė755        Vardas755           3.63                
Pavardė196        Vardas196           3.63                
Pavardė468        Vardas468           3.63                
Pavardė608        Vardas608           3.65                
Pavardė978        Vardas978           3.65                
Pavardė285        Vardas285           3.65                
Pavardė487        Vardas487           3.67                
Pavardė99         Vardas99            3.67                
Pavardė81         Vardas81            3.67                
Pavardė548        Vardas548           3.68                
Pavardė832        Vardas832           3.68                
Pavardė389        Vardas389           3.68                
Pavardė4          Vardas4             3.68                
Pavardė257        Vardas257           3.68                
Pavardė70         Vardas70            3.69                
Pavardė630        Vardas630           3.69                
Pavardė771        Vardas771           3.69                
Pavardė690        Vardas690           3.69                
Pavardė786        Vardas786           3.72                
Pavardė592        Vardas592           3.73                
Pavardė150        Vardas150           3.75                
Pavardė122        Vardas122           3.75                
Pavardė541        Vardas541           3.77                
Pavardė529        Vardas529           3.77                
Pavardė679        Vardas679           3.79                
Pavardė46         Vardas46            3.80                
Pavardė976        Vardas976           3.80                
Pavardė848        Vardas848           3.80                
Pavardė17         Vardas17            3.80                
Pavardė490        Vardas490           3.80                
Pavardė818        Vardas818           3.80                
Pavardė325        Vardas325           3.81                
Pavardė820        Vardas820           3.83                
Pavardė55         Vardas55            3.85                
Pavardė317        Vardas317           3.88                
Pavardė798        Vardas798           3.88                
Pavardė861        Vardas861           3.89                
Pavardė422        Vardas422           3.89                
Pavardė80         Vardas80            3.92                
Pavardė153        Vardas153           3.92                
Pavardė589        Vardas589           3.92                
Pavardė443        Vardas443           3.92                
Pavardė37         Vardas37            3.93                
Pavardė789        Vardas789           3.95                
Pavardė637        Vardas637           3.95                
Pavardė118        Vardas118           3.96                
Pavardė108        Vardas108           3.96                
Pavardė659        Vardas659           3.99                
Pavardė602        Vardas602           3.99                
Pavardė935        Vardas935           4.01                
Pavardė645        Vardas645           4.04                
Pavardė6          Vardas6             4.04                
Pavardė538        Vardas538           4.05                
Pavardė790        Vardas790           4.05                
Pavardė21         Vardas21            4.05                
Pavardė970        Vardas970           4.07                
Pavardė760        Vardas760           4.07                
Pavardė837        Vardas837           4.07                
Pavardė722        Vardas722           4.07                
Pavardė536        Vardas536           4.08                
Pavardė177        Vardas177           4.09                
Pavardė700        Vardas700           4.11                
Pavardė457        Vardas457           4.11                
Pavardė478        Vardas478           4.11                
Pavardė831        Vardas831           4.11                
Pavardė656        Vardas656           4.12                
Pavardė314        Vardas314           4.12                
Pavardė683        Vardas683           4.13                
Pavardė262        Vardas262           4.13                
Pavardė303        Vardas303           4.15                
Pavardė22         Vardas22            4.15                
Pavardė47         Vardas47            4.16                
Pavardė591        Vardas591           4.16                
Pavardė442        Vardas442           4.16                
Pavardė764        Vardas764           4.16                
Pavardė868        Vardas868           4.17                
Pavardė967        Vardas967           4.19                
Pavardė287        Vardas287           4.19                
Pavardė217        Vardas217           4.19                
Pavardė16         Vardas16            4.20                
Pavardė886        Vardas886           4.21                
Pavardė135        Vardas135           4.21                
Pavardė367        Vardas367           4.21                
Pavardė646        Vardas646           4.21                
Pavardė808        Vardas808           4.23                
Pavardė266        Vardas266           4.23                
Pavardė415        Vardas415           4.23                
Pavardė132        Vardas132           4.24                
Pavardė44         Vardas44            4.25                
Pavardė864        Vardas864           4.25                
Pavardė56         Vardas56            4.27                
Pavardė922        Vardas922           4.27                
Pavardė168        Vardas168           4.29                
Pavardė425        Vardas425           4.31                
Pavardė982        Vardas982           4.31                
Pavardė965        Vardas965           4.31                
Pavardė834        Vardas834           4.31                
Pavardė778        Vardas778           4.32                
Pavardė441        Vardas441           4.32                
Pavardė245        Vardas245           4.32                
Pavardė719        Vardas719           4.32                
Pavardė618        Vardas618           4.35                
Pavardė388        Vardas388           4.35                
Pavardė906        Vardas906           4.35                
Pavardė440        Vardas440           4.35                
Pavardė621        Vardas621           4.35                
Pavardė275        Vardas275           4.36                
Pavardė79         Vardas79            4.37                
Pavardė180        Vardas180           4.37                
Pavardė962        Vardas962           4.39                
Pavardė78         Vardas78            4.40                
Pavardė675        Vardas675           4.40                
Pavardė823        Vardas823           4.41                
Pavardė824        Vardas824           4.43                
Pavardė911        Vardas911           4.43                
Pavardė148        Vardas148           4.43                
Pavardė301        Vardas301           4.43                
Pavardė260        Vardas260           4.45                
Pavardė672        Vardas672           4.45                
Pavardė751        Vardas751           4.45                
Pavardė792        Vardas792           4.45                
Pavardė770        Vardas770           4.45                
Pavardė281        Vardas281           4.45                
Pavardė762        Vardas762           4.45                
Pavardė265        Vardas265           4.47                
Pavardė660        Vardas660           4.47                
Pavardė179        Vardas179           4.47                
Pavardė210        Vardas210           4.47                
Pavardė24         Vardas24            4.48                
Pavardė197        Vardas197           4.51                
Pavardė576        Vardas576           4.51                
Pavardė649        Vardas649           4.51                
Pavardė464        Vardas464           4.51                
Pavardė633        Vardas633           4.52                
Pavardė346        Vardas346           4.52                
Pavardė329        Vardas329           4.53                
Pavardė688        Vardas688           4.59                
Pavardė977        Vardas977           4.61                
Pavardė594        Vardas594           4.61                
Pavardė400        Vardas400           4.61                
Pavardė202        Vardas202           4.61                
Pavardė813        Vardas813           4.63                
Pavardė229        Vardas229           4.63                
Pavardė408        Vardas408           4.63                
Pavardė38         Vardas38            4.64                
Pavardė269        Vardas269           4.64                
Pavardė712        Vardas712           4.65                
Pavardė759        Vardas759           4.65                
Pavardė77         Vardas77            4.68                
Pavardė838        Vardas838           4.69                
Pavardė783        Vardas783           4.69                
Pavardė731        Vardas731           4.69                
Pavardė632        Vardas632           4.71                
Pavardė195        Vardas195           4.72                
Pavardė695        Vardas695           4.72                
Pavardė75         Vardas75            4.73                
Pavardė843        Vardas843           4.75                
Pavardė482        Vardas482           4.75                
Pavardė846        Vardas846           4.76                
Pavardė92         Vardas92            4.76                
Pavardė497        Vardas497           4.76                
Pavardė429        Vardas429           4.76                
Pavardė579        Vardas579           4.77                
Pavardė669        Vardas669           4.77                
Pavardė973        Vardas973           4.77                
Pavardė930        Vardas930           4.77                
Pavardė10         Vardas10            4.79                
Pavardė273        Vardas273           4.80                
Pavardė83         Vardas83            4.81                
Pavardė898        Vardas898           4.81                
Pavardė8          Vardas8             4.81                
Pavardė599        Vardas599           4.83                
Pavardė775        Vardas775           4.84                
Pavardė390        Vardas390           4.84                
Pavardė212        Vardas212           4.84                
Pavardė699        Vardas699           4.84                
Pavardė748        Vardas748           4.84                
Pavardė62         Vardas62            4.87                
Pavardė243        Vardas243           4.87                
Pavardė398        Vardas398           4.87                
Pavardė570        Vardas570           4.87                
Pavardė109        Vardas109           4.87                
Pavardė227        Vardas227           4.88                
Pavardė826        Vardas826           4.89                
Pavardė338        Vardas338           4.89                
Pavardė348        Vardas348           4.89                
Pavardė673        Vardas673           4.91                
Pavardė640        Vardas640           4.91                
Pavardė87         Vardas87            4.92                
Pavardė893        Vardas893           4.93                
Pavardė993        Vardas993           4.95                
Pavardė306        Vardas306           4.95                
Pavardė311        Vardas311           4.95                
Pavardė944        Vardas944           4.95                
Pavardė600        Vardas600           4.96                
Pavardė436        Vardas436           4.96                
Pavardė211        Vardas211           4.97                
Pavardė752        Vardas752           4.97                
