Vardas              Pavardė            ND1     ND2     ND3     ND4     ND5     ND6     ND7     ND8     ND9     ND10    ND11    ND12    ND13    ND14    ND15    EGZ     
Vardas97            Pavardė97          1       4       4       3       0       1       9       7       10      4       2       8       5       10      10      6       
Vardas98            Pavardė98          3       9       5       4       0       2       7       3       6       2       0       0       10      6       6       1       
Vardas99            Pavardė99          9       0       2       8       8       10      1       5       1       4       9       1       2       1       9       3       
Vardas100           Pavardė100         10      0       0       2       5       6       5       4       8       1       3       1       8       7       6       6       
Vardas101           Pavardė101         8       9       0       1       3       5       10      6       9       5       5       4       1       4       1       2       
Vardas102           Pavardė102         2       3       10      7       4       3       9       10      6       10      5       4       2       7       8       0       
Vardas103           Pavardė103         10      8       8       6       6       9       10      8       7       3       9       8       8       0       6       7       
Vardas104           Pavardė104         5       0       2       7       6       8       8       5       7       2       8       6       8       4       3       8       
Vardas105           Pavardė105         5       0       3       0       1       10      7       0       3       3       1       6       6       8       9       3       
Vardas106           Pavardė106         5       4       2       8       0       7       3       8       2       2       6       8       3       10      2       2       
Vardas107           Pavardė107         3       8       3       1       8       6       5       6       0       10      3       0       4       5       8       9       
Vardas108           Pavardė108         6       7       8       5       0       3       8       6       10      6       7       7       3       3       2       3       
Vardas109           Pavardė109         1       1       8       3       2       8       1       10      2       1       8       8       10      0       7       5       
Vardas110           Pavardė110         7       5       10      9       7       1       8       9       7       9       1       7       7       4       6       10      
Vardas111           Pavardė111         4       4       9       8       0       0       7       10      5       6       0       10      5       2       5       9       
Vardas112           Pavardė112         6       2       2       4       4       2       8       4       6       8       9       1       7       0       0       9       
Vardas113           Pavardė113         7       5       2       3       3       1       7       6       9       0       4       8       6       9       6       1       
Vardas114           Pavardė114         1       7       0       10      8       4       6       1       8       2       8       4       2       1       2       9       
Vardas115           Pavardė115         2       7       7       1       5       4       2       6       9       2       2       3       0       8       4       8       
Vardas116           Pavardė116         1       2       0       5       0       6       1       0       7       3       8       1       2       10      9       8       
Vardas117           Pavardė117         6       0       1       4       9       8       6       8       10      8       7       0       6       4       4       6       
Vardas118           Pavardė118         6       7       2       8       4       0       3       10      7       5       6       9       2       10      2       3       
Vardas119           Pavardė119         1       3       0       0       3       4       1       5       0       3       10      2       6       7       0       10      
Vardas120           Pavardė120         7       8       4       7       3       10      9       8       1       6       10      6       0       4       0       5       
Vardas121           Pavardė121         4       1       4       3       3       8       0       4       1       10      3       9       7       2       1       2       
Vardas122           Pavardė122         5       6       0       5       4       9       1       7       5       2       10      3       2       9       5       3       
Vardas123           Pavardė123         7       2       8       3       5       8       9       10      8       6       3       3       3       8       8       7       
Vardas124           Pavardė124         8       4       9       7       0       1       5       7       10      10      4       6       0       2       5       10      
Vardas125           Pavardė125         10      5       1       5       9       6       0       5       6       5       1       9       5       0       2       1       
Vardas126           Pavardė126         4       0       1       3       5       7       4       9       5       9       2       6       1       6       9       9       
Vardas127           Pavardė127         5       10      5       8       4       0       2       4       7       1       2       6       4       8       10      10      
Vardas128           Pavardė128         6       9       1       3       3       9       4       8       5       6       9       6       0       4       0       8       
Vardas129           Pavardė129         10      8       0       7       10      4       8       10      5       9       4       7       8       2       5       9       
Vardas130           Pavardė130         8       8       3       0       3       4       7       2       4       8       7       10      2       5       3       9       
Vardas131           Pavardė131         7       9       9       0       7       10      6       0       8       3       9       3       9       1       6       9       
Vardas132           Pavardė132         3       8       4       10      7       9       3       3       3       0       1       1       3       10      4       4       
Vardas133           Pavardė133         5       4       10      5       7       2       3       6       6       6       3       7       0       1       6       7       
Vardas134           Pavardė134         9       3       10      6       8       9       9       8       4       8       7       1       9       4       1       6       
Vardas135           Pavardė135         6       2       1       2       5       9       2       5       9       4       5       4       0       10      4       4       
Vardas136           Pavardė136         8       2       4       7       10      0       1       10      9       0       0       0       2       4       1       7       
Vardas137           Pavardė137         10      5       8       8       1       3       0       2       6       10      7       7       4       7       3       2       
Vardas138           Pavardė138         1       7       3       8       8       1       5       10      0       10      3       7       4       8       6       10      
Vardas139           Pavardė139         4       10      4       7       0       7       6       9       1       5       10      4       1       2       10      5       
Vardas140           Pavardė140         5       0       4       0       0       7       8       5       5       4       4       10      10      10      4       8       
Vardas141           Pavardė141         2       0       3       6       6       8       5       8       2       9       9       3       7       7       0       8       
Vardas142           Pavardė142         10      0       1       4       7       4       3       2       4       9       10      5       5       3       6       10      
Vardas143           Pavardė143         7       8       0       2       8       1       10      5       7       10      1       5       7       10      7       2       
Vardas144           Pavardė144         0       0       0       10      3       1       0       7       2       10      10      8       5       5       1       9       
Vardas145           Pavardė145         8       6       9       5       8       2       4       0       9       6       5       3       10      9       3       0       
Vardas146           Pavardė146         4       2       0       0       1       7       9       10      8       10      2       5       0       10      8       8       
Vardas147           Pavardė147         4       10      4       7       8       10      1       2       3       8       0       6       4       10      3       1       
Vardas148           Pavardė148         3       9       9       8       10      7       4       1       8       1       2       1       8       3       2       4       
Vardas149           Pavardė149         6       7       7       4       0       7       10      4       1       2       3       2       1       10      2       3       
Vardas150           Pavardė150         1       10      4       9       2       8       8       1       3       10      1       2       1       6       7       3       
Vardas151           Pavardė151         7       5       7       6       7       5       5       1       8       4       10      0       6       9       9       0       
Vardas152           Pavardė152         1       0       4       3       4       7       5       1       1       3       5       7       8       7       1       2       
Vardas153           Pavardė153         5       8       10      5       0       0       0       5       4       2       1       10      3       4       0       4       
Vardas154           Pavardė154         1       4       0       0       4       3       4       9       9       5       7       5       5       3       5       0       
Vardas155           Pavardė155         4       7       6       2       7       4       4       3       9       2       6       10      1       8       0       2       
Vardas156           Pavardė156         2       4       0       1       7       6       8       5       1       2       3       0       7       1       2       10      
Vardas157           Pavardė157         2       7       8       0       4       6       3       10      7       9       5       3       8       5       10      2       
Vardas158           Pavardė158         1       0       8       10      6       8       9       4       3       2       0       5       10      3       0       2       
Vardas159           Pavardė159         9       7       0       9       10      1       10      4       5       9       1       2       1       4       7       2       
Vardas160           Pavardė160         5       3       8       9       2       0       9       7       1       10      9       3       1       10      3       7       
Vardas161           Pavardė161         3       8       2       10      0       5       5       9       5       10      2       3       9       0       7       10      
Vardas162           Pavardė162         4       5       0       3       6       8       3       5       4       3       4       0       9       7       8       9       
Vardas163           Pavardė163         5       4       9       5       0       2       9       3       8       9       4       2       3       6       7       1       
Vardas164           Pavardė164         0       3       9       1       5       9       7       5       1       5       3       1       2       0       9       2       
Vardas165           Pavardė165         10      9       5       2       8       10      0       4       5       0       6       4       10      5       6       8       
Vardas166           Pavardė166         10      2       0       3       10      10      7       0       2       3       7       0       10      4       4       8       
Vardas167           Pavardė167         10      9       5       5       10      7       6       6       5       8       9       5       4       3       10      4       
Vardas168           Pavardė168         5       0       7       7       2       2       9       4       9       1       10      5       2       7       1       4       
Vardas169           Pavardė169         6       3       5       7       8       6       5       2       1       1       7       6       5       0       6       0       
Vardas170           Pavardė170         0       6       4       1       5       7       1       5       5       4       4       10      6       9       8       9       
Vardas171           Pavardė171         7       4       3       5       3       8       7       4       3       7       7       9       9       3       7       7       
Vardas172           Pavardė172         5       10      9       6       3       7       10      0       7       8       1       10      8       2       7       9       
Vardas173           Pavardė173         9       6       5       9       3       9       4       7       10      8       1       8       10      7       7       1       
Vardas174           Pavardė174         2       0       7       10      0       0       3       5       4       5       6       5       3       7       10      6       
Vardas175           Pavardė175         1       7       2       5       0       1       5       7       1       4       5       9       0       7       6       10      
Vardas176           Pavardė176         9       9       10      9       6       9       3       1       5       2       8       7       8       10      1       9       
Vardas177           Pavardė177         9       0       7       4       5       9       6       8       2       9       4       8       2       7       6       3       
Vardas178           Pavardė178         5       5       3       6       4       5       6       2       3       1       7       0       3       7       0       2       
Vardas179           Pavardė179         0       5       8       9       1       9       5       9       6       10      7       10      9       7       5       3       
Vardas180           Pavardė180         5       5       4       1       5       6       5       3       8       10      5       4       1       7       5       4       
Vardas181           Pavardė181         9       0       9       4       9       0       9       0       10      3       7       5       3       1       10      1       
Vardas182           Pavardė182         2       1       3       10      10      8       4       3       2       7       2       10      0       1       8       0       
Vardas183           Pavardė183         0       8       3       4       10      6       4       7       1       7       0       5       1       8       6       10      
Vardas184           Pavardė184         0       2       4       6       1       9       6       4       7       6       5       7       9       0       9       5       
Vardas185           Pavardė185         10      5       4       0       0       10      7       4       7       8       8       10      4       4       6       8       
Vardas186           Pavardė186         0       5       3       5       5       10      10      10      8       2       6       0       9       9       4       9       
Vardas187           Pavardė187         9       6       8       8       6       0       6       10      9       5       8       6       4       6       7       8       
Vardas188           Pavardė188         10      8       1       2       6       10      4       1       6       0       9       0       0       6       9       6       
Vardas189           Pavardė189         5       6       0       2       4       0       0       10      9       8       0       1       3       8       9       9       
Vardas190           Pavardė190         2       6       2       2       5       2       2       5       10      2       6       1       0       0       6       10      
Vardas191           Pavardė191         1       10      5       3       7       5       4       3       2       9       3       6       10      4       8       9       
Vardas192           Pavardė192         7       4       8       9       9       10      7       1       3       8       2       7       4       10      7       9       
Vardas193           Pavardė193         8       2       4       0       8       2       10      8       7       1       8       3       2       2       3       2       
Vardas194           Pavardė194         9       4       3       8       1       1       5       8       4       10      8       6       5       10      8       5       
Vardas195           Pavardė195         9       5       4       10      1       7       0       10      1       10      9       6       5       9       1       4       
Vardas196           Pavardė196         9       1       7       4       7       9       7       3       3       7       10      8       5       8       3       2       
Vardas197           Pavardė197         2       3       10      4       9       1       7       5       3       9       1       3       6       8       8       4       
Vardas198           Pavardė198         5       3       0       5       7       2       5       1       8       5       4       1       5       9       5       9       
Vardas199           Pavardė199         2       7       7       1       9       6       8       1       0       0       4       4       10      8       0       8       
Vardas200           Pavardė200         9       10      7       9       2       0       9       0       4       1       5       5       10      6       2       8       
Vardas201           Pavardė201         5       8       0       7       5       6       6       7       7       5       6       1       2       10      7       9       
Vardas202           Pavardė202         5       10      6       3       6       6       1       4       4       0       10      9       8       2       9       4       
Vardas203           Pavardė203         3       6       3       7       10      5       4       5       6       2       4       9       6       5       0       6       
Vardas204           Pavardė204         7       3       1       1       5       7       6       6       8       8       7       3       0       4       7       2       
Vardas205           Pavardė205         5       9       0       10      1       3       5       5       2       1       1       1       7       8       7       3       
Vardas206           Pavardė206         1       3       10      3       0       1       2       9       0       7       7       0       3       5       5       0       
Vardas207           Pavardė207         9       5       1       6       10      4       3       0       4       10      3       1       9       3       7       5       
Vardas208           Pavardė208         0       7       8       0       5       9       4       5       3       7       5       5       8       2       2       8       
Vardas209           Pavardė209         10      2       1       6       9       10      10      0       4       5       4       1       8       9       9       9       
Vardas210           Pavardė210         1       0       7       10      4       6       1       2       0       0       8       0       6       3       7       5       
Vardas211           Pavardė211         0       9       4       10      1       0       8       6       1       3       1       7       6       8       10      5       
Vardas212           Pavardė212         1       7       9       0       6       2       7       2       7       2       9       7       3       5       2       5       
Vardas213           Pavardė213         7       1       5       6       0       4       10      0       8       1       7       7       7       2       3       0       
Vardas214           Pavardė214         3       6       3       10      5       1       0       4       2       4       5       10      1       10      9       1       
Vardas215           Pavardė215         8       2       1       5       2       5       6       1       10      7       5       8       0       5       6       6       
Vardas216           Pavardė216         8       2       5       0       5       0       10      2       4       9       1       0       2       10      7       6       
Vardas217           Pavardė217         8       9       4       5       2       7       4       8       4       0       4       2       3       1       6       4       
Vardas218           Pavardė218         1       9       4       0       1       2       1       4       4       0       9       7       1       6       5       10      
Vardas219           Pavardė219         7       6       2       9       1       6       4       9       9       3       8       2       9       10      6       5       
Vardas220           Pavardė220         8       7       5       6       7       5       5       2       9       5       4       0       2       10      7       9       
Vardas221           Pavardė221         6       2       1       4       7       9       2       1       6       8       1       5       1       8       4       10      
Vardas222           Pavardė222         7       4       4       2       6       1       5       6       8       7       7       10      1       8       1       9       
Vardas223           Pavardė223         6       9       8       7       3       9       9       7       7       10      2       3       2       5       6       5       
Vardas224           Pavardė224         8       6       5       8       5       5       4       0       4       6       1       1       3       9       8       8       
Vardas225           Pavardė225         7       9       5       4       8       7       4       6       1       8       10      7       10      7       0       0       
Vardas226           Pavardė226         8       3       8       6       3       4       10      0       10      1       10      0       1       4       5       7       
Vardas227           Pavardė227         10      7       4       9       2       7       8       1       10      4       5       4       10      10      2       4       
Vardas228           Pavardė228         3       6       10      6       10      4       0       5       3       7       2       4       10      5       4       0       
Vardas229           Pavardė229         1       5       8       6       2       2       7       5       1       0       1       9       10      4       0       5       
Vardas230           Pavardė230         3       3       8       9       10      6       8       3       5       2       3       7       1       2       6       0       
Vardas231           Pavardė231         2       2       5       2       7       8       6       3       10      10      4       10      6       4       4       8       
Vardas232           Pavardė232         0       6       5       5       4       5       8       5       4       4       3       5       0       6       2       2       
Vardas233           Pavardė233         6       8       8       7       3       0       0       8       0       6       0       10      7       3       3       7       
Vardas234           Pavardė234         6       5       2       3       0       3       6       7       7       3       8       8       6       2       2       8       
Vardas235           Pavardė235         6       8       0       8       7       4       6       0       2       9       4       10      2       1       2       2       
Vardas236           Pavardė236         6       4       1       10      6       6       3       2       10      9       10      1       10      0       10      0       
Vardas237           Pavardė237         10      4       1       4       5       2       0       3       9       3       2       0       1       8       8       9       
Vardas238           Pavardė238         3       4       9       2       1       4       3       3       2       4       3       8       9       2       5       2       
Vardas239           Pavardė239         7       4       1       3       2       0       0       10      10      5       10      4       2       1       1       6       
Vardas240           Pavardė240         10      6       5       6       7       2       3       2       3       9       10      5       9       5       8       9       
Vardas241           Pavardė241         6       9       2       6       4       10      1       8       2       4       6       5       5       9       10      9       
Vardas242           Pavardė242         2       7       1       5       0       1       1       4       4       9       4       4       1       1       1       2       
Vardas243           Pavardė243         4       7       2       2       2       9       1       9       4       2       5       5       5       10      3       5       
Vardas244           Pavardė244         5       2       9       4       6       10      5       9       10      4       9       10      4       2       8       0       
Vardas245           Pavardė245         5       4       4       1       8       5       10      0       0       9       10      10      1       5       0       4       
Vardas246           Pavardė246         5       5       2       6       0       6       2       4       8       9       0       9       7       2       2       9       
Vardas247           Pavardė247         0       7       3       0       7       2       9       7       4       3       2       3       0       3       2       2       
Vardas248           Pavardė248         8       9       10      7       9       8       9       2       4       9       5       6       3       9       6       4       
Vardas249           Pavardė249         8       2       3       0       2       10      9       7       10      6       10      10      2       9       5       5       
Vardas250           Pavardė250         6       8       2       1       9       8       1       8       10      4       3       6       4       10      5       6       
Vardas251           Pavardė251         3       1       7       1       1       8       7       5       6       2       3       1       3       6       3       8       
Vardas252           Pavardė252         1       9       6       8       0       4       0       5       1       2       1       3       0       4       1       9       
Vardas253           Pavardė253         6       4       6       0       4       0       1       6       1       5       7       3       0       3       4       1       
Vardas254           Pavardė254         6       10      7       9       3       4       9       10      0       9       5       7       0       7       6       1       
Vardas255           Pavardė255         9       3       0       8       2       1       3       6       5       4       10      3       8       10      1       2       
Vardas256           Pavardė256         3       7       9       7       9       7       7       5       6       5       3       8       3       4       5       8       
Vardas257           Pavardė257         3       6       2       1       9       0       2       1       2       7       0       4       0       7       4       4       
Vardas258           Pavardė258         10      4       2       4       2       5       8       6       9       3       7       0       1       3       10      1       
Vardas259           Pavardė259         9       0       6       4       9       8       7       9       5       10      1       5       4       9       2       1       
Vardas260           Pavardė260         6       6       4       0       7       1       5       8       9       10      4       2       4       2       9       4       
Vardas261           Pavardė261         3       9       7       6       9       6       2       7       0       6       9       0       5       10      7       0       
Vardas262           Pavardė262         8       0       10      2       2       4       8       2       5       1       3       8       0       5       7       4       
Vardas263           Pavardė263         1       4       0       2       9       8       4       5       9       2       10      10      9       5       9       8       
Vardas264           Pavardė264         3       0       6       9       7       10      0       6       2       3       6       10      10      8       10      8       
Vardas265           Pavardė265         6       0       0       7       2       4       10      0       0       6       6       6       1       2       5       5       
Vardas266           Pavardė266         10      9       1       10      7       3       6       6       3       8       5       6       7       5       5       3       
Vardas267           Pavardė267         8       0       2       4       1       9       1       5       3       7       4       2       1       10      2       8       
Vardas268           Pavardė268         10      10      5       2       9       3       8       2       2       5       6       0       10      8       9       5       
Vardas269           Pavardė269         7       3       9       9       10      1       7       0       5       1       3       1       9       9       10      4       
Vardas270           Pavardė270         10      5       3       9       2       0       3       3       8       10      6       2       9       3       0       7       
Vardas271           Pavardė271         4       7       7       2       1       8       0       9       1       7       5       6       6       3       6       0       
Vardas272           Pavardė272         5       2       7       9       4       4       5       9       10      2       0       7       6       10      2       9       
Vardas273           Pavardė273         0       4       8       3       8       9       9       5       2       8       10      2       10      10      2       4       
Vardas274           Pavardė274         0       5       5       6       5       8       6       9       7       10      7       0       4       6       5       5       
Vardas275           Pavardė275         1       2       1       1       2       0       5       1       1       9       7       1       10      2       8       5       
Vardas276           Pavardė276         1       4       2       6       6       8       5       2       5       2       8       0       2       6       5       0       
Vardas277           Pavardė277         4       5       0       6       0       5       8       0       2       5       5       10      7       0       4       1       
Vardas278           Pavardė278         9       2       6       8       3       1       6       6       3       0       4       5       4       8       7       6       
Vardas279           Pavardė279         7       4       9       4       3       8       2       0       0       8       2       3       3       1       9       8       
Vardas280           Pavardė280         8       9       4       4       6       1       7       10      7       1       9       0       0       1       10      10      
Vardas281           Pavardė281         10      1       8       0       7       5       2       6       5       9       2       2       4       10      6       4       
Vardas282           Pavardė282         5       1       6       3       6       5       4       0       9       6       0       9       2       6       9       7       
Vardas283           Pavardė283         7       2       10      4       9       10      9       10      2       3       5       10      4       6       9       4       
Vardas284           Pavardė284         3       7       0       5       4       6       4       0       9       6       6       9       6       1       7       1       
Vardas285           Pavardė285         7       6       7       9       2       0       2       2       10      3       8       8       9       9       10      2       
Vardas286           Pavardė286         10      4       3       8       2       10      0       4       8       2       5       7       9       1       2       5       
Vardas287           Pavardė287         0       5       6       6       1       1       10      6       8       0       10      4       6       1       3       4       
Vardas288           Pavardė288         9       7       8       9       8       10      7       9       4       4       2       8       7       5       2       7       
Vardas289           Pavardė289         0       2       4       9       0       1       2       5       3       5       5       6       9       8       4       1       
Vardas290           Pavardė290         0       0       10      10      2       5       5       9       10      1       4       7       4       1       10      6       
Vardas291           Pavardė291         5       0       6       9       0       5       8       6       9       0       1       7       8       0       6       9       
Vardas292           Pavardė292         9       5       7       7       7       3       5       10      7       8       7       3       10      7       5       4       
Vardas293           Pavardė293         6       8       7       8       0       9       3       1       6       10      1       5       7       8       0       2       
Vardas294           Pavardė294         7       8       9       1       2       1       9       4       4       10      6       5       10      0       4       9       
Vardas295           Pavardė295         7       3       9       4       7       7       8       5       3       8       0       4       8       0       7       6       
Vardas296           Pavardė296         8       7       9       0       4       2       6       9       4       4       9       2       1       10      7       0       
Vardas297           Pavardė297         0       4       3       1       7       5       8       2       2       5       4       9       1       3       4       0       
Vardas298           Pavardė298         0       3       1       5       6       10      0       8       2       6       4       4       7       1       10      3       
Vardas299           Pavardė299         2       0       10      5       0       2       2       5       6       10      8       4       8       2       3       3       
Vardas300           Pavardė300         2       2       2       10      1       7       7       7       4       0       0       2       7       7       2       7       
Vardas301           Pavardė301         10      10      2       7       2       3       2       10      3       0       9       2       9       4       3       4       
