Pavardė            Vardas              Galutinis (vid.)    
Pavardė34         Vardas34            5.79                
Pavardė308        Vardas308           5.80                
Pavardė300        Vardas300           5.80                
Pavardė957        Vardas957           5.81                
Pavardė58         Vardas58            5.81                
Pavardė908        Vardas908           5.81                
Pavardė577        Vardas577           5.83                
Pavardė696        Vardas696           5.84                
Pavardė49         Vardas49            5.84                
Pavardė382        Vardas382           5.84                
Pavardė407        Vardas407           5.84                
Pavardė418        Vardas418           5.87                
Pavardė953        Vardas953           5.87                
Pavardė250        Vardas250           5.87                
Pavardė542        Vardas542           5.88                
Pavardė737        Vardas737           5.89                
Pavardė397        Vardas397           5.89                
Pavardė986        Vardas986           5.89                
Pavardė347        Vardas347           5.89                
Pavardė704        Vardas704           5.89                
Pavardė438        Vardas438           5.89                
Pavardė530        Vardas530           5.89                
Pavardė629        Vardas629           5.91                
Pavardė710        Vardas710           5.91                
Pavardė989        Vardas989           5.96                
Pavardė940        Vardas940           5.97                
Pavardė617        Vardas617           5.99                
Pavardė612        Vardas612           5.99                
Pavardė636        Vardas636           5.99                
Pavardė86         Vardas86            6.00                
Pavardė985        Vardas985           6.01                
Pavardė765        Vardas765           6.01                
Pavardė41         Vardas41            6.01                
Pavardė484        Vardas484           6.03                
Pavardė639        Vardas639           6.03                
Pavardė233        Vardas233           6.04                
Pavardė874        Vardas874           6.07                
Pavardė773        Vardas773           6.09                
Pavardė706        Vardas706           6.09                
Pavardė282        Vardas282           6.09                
Pavardė336        Vardas336           6.09                
Pavardė694        Vardas694           6.09                
Pavardė718        Vardas718           6.09                
Pavardė23         Vardas23            6.09                
Pavardė133        Vardas133           6.09                
Pavardė661        Vardas661           6.09                
Pavardė987        Vardas987           6.12                
Pavardė76         Vardas76            6.13                
Pavardė754        Vardas754           6.15                
Pavardė964        Vardas964           6.15                
Pavardė226        Vardas226           6.15                
Pavardė270        Vardas270           6.15                
Pavardė134        Vardas134           6.16                
Pavardė726        Vardas726           6.19                
Pavardė614        Vardas614           6.20                
Pavardė509        Vardas509           6.20                
Pavardė437        Vardas437           6.21                
Pavardė57         Vardas57            6.23                
Pavardė895        Vardas895           6.23                
Pavardė869        Vardas869           6.24                
Pavardė405        Vardas405           6.25                
Pavardė116        Vardas116           6.27                
Pavardė928        Vardas928           6.28                
Pavardė33         Vardas33            6.28                
Pavardė912        Vardas912           6.28                
Pavardė537        Vardas537           6.28                
Pavardė51         Vardas51            6.29                
Pavardė332        Vardas332           6.31                
Pavardė91         Vardas91            6.31                
Pavardė460        Vardas460           6.31                
Pavardė251        Vardas251           6.32                
Pavardė568        Vardas568           6.32                
Pavardė681        Vardas681           6.33                
Pavardė562        Vardas562           6.33                
Pavardė910        Vardas910           6.33                
Pavardė634        Vardas634           6.33                
Pavardė160        Vardas160           6.33                
Pavardė521        Vardas521           6.35                
Pavardė981        Vardas981           6.37                
Pavardė267        Vardas267           6.37                
Pavardė913        Vardas913           6.39                
Pavardė652        Vardas652           6.39                
Pavardė309        Vardas309           6.40                
Pavardė582        Vardas582           6.40                
Pavardė578        Vardas578           6.41                
Pavardė462        Vardas462           6.43                
Pavardė929        Vardas929           6.44                
Pavardė115        Vardas115           6.45                
Pavardė899        Vardas899           6.47                
Pavardė279        Vardas279           6.48                
Pavardė171        Vardas171           6.49                
Pavardė361        Vardas361           6.49                
Pavardė880        Vardas880           6.51                
Pavardė969        Vardas969           6.52                
Pavardė678        Vardas678           6.52                
Pavardė374        Vardas374           6.52                
Pavardė730        Vardas730           6.53                
Pavardė657        Vardas657           6.55                
Pavardė340        Vardas340           6.56                
Pavardė769        Vardas769           6.56                
Pavardė891        Vardas891           6.56                
Pavardė926        Vardas926           6.56                
Pavardė199        Vardas199           6.59                
Pavardė313        Vardas313           6.59                
Pavardė252        Vardas252           6.60                
Pavardė234        Vardas234           6.61                
Pavardė866        Vardas866           6.61                
Pavardė123        Vardas123           6.63                
Pavardė493        Vardas493           6.63                
Pavardė923        Vardas923           6.63                
Pavardė558        Vardas558           6.64                
Pavardė897        Vardas897           6.64                
Pavardė905        Vardas905           6.64                
Pavardė750        Vardas750           6.67                
Pavardė208        Vardas208           6.67                
Pavardė27         Vardas27            6.69                
Pavardė698        Vardas698           6.69                
Pavardė472        Vardas472           6.71                
Pavardė829        Vardas829           6.72                
Pavardė63         Vardas63            6.72                
Pavardė166        Vardas166           6.72                
Pavardė427        Vardas427           6.72                
Pavardė564        Vardas564           6.72                
Pavardė423        Vardas423           6.73                
Pavardė354        Vardas354           6.75                
Pavardė224        Vardas224           6.75                
Pavardė128        Vardas128           6.75                
Pavardė960        Vardas960           6.75                
Pavardė658        Vardas658           6.76                
Pavardė2          Vardas2             6.77                
Pavardė811        Vardas811           6.77                
Pavardė956        Vardas956           6.77                
Pavardė830        Vardas830           6.79                
Pavardė934        Vardas934           6.79                
Pavardė674        Vardas674           6.79                
Pavardė733        Vardas733           6.80                
Pavardė992        Vardas992           6.80                
Pavardė141        Vardas141           6.80                
Pavardė774        Vardas774           6.83                
Pavardė670        Vardas670           6.83                
Pavardė146        Vardas146           6.83                
Pavardė140        Vardas140           6.83                
Pavardė64         Vardas64            6.84                
Pavardė288        Vardas288           6.84                
Pavardė707        Vardas707           6.84                
Pavardė979        Vardas979           6.87                
Pavardė888        Vardas888           6.88                
Pavardė498        Vardas498           6.88                
Pavardė740        Vardas740           6.88                
Pavardė648        Vardas648           6.88                
Pavardė882        Vardas882           6.88                
Pavardė375        Vardas375           6.91                
Pavardė575        Vardas575           6.91                
Pavardė200        Vardas200           6.91                
Pavardė723        Vardas723           6.91                
Pavardė104        Vardas104           6.91                
Pavardė426        Vardas426           6.92                
Pavardė701        Vardas701           6.93                
Pavardė966        Vardas966           6.93                
Pavardė546        Vardas546           6.93                
Pavardė626        Vardas626           6.93                
Pavardė613        Vardas613           6.99                
Pavardė322        Vardas322           6.99                
Pavardė791        Vardas791           6.99                
Pavardė237        Vardas237           7.00                
Pavardė528        Vardas528           7.00                
Pavardė859        Vardas859           7.00                
Pavardė552        Vardas552           7.00                
Pavardė231        Vardas231           7.01                
Pavardė686        Vardas686           7.01                
Pavardė103        Vardas103           7.03                
Pavardė53         Vardas53            7.03                
Pavardė954        Vardas954           7.03                
Pavardė165        Vardas165           7.04                
Pavardė876        Vardas876           7.04                
Pavardė871        Vardas871           7.04                
Pavardė560        Vardas560           7.04                
Pavardė144        Vardas144           7.05                
Pavardė653        Vardas653           7.07                
Pavardė664        Vardas664           7.07                
Pavardė611        Vardas611           7.08                
Pavardė112        Vardas112           7.08                
Pavardė114        Vardas114           7.11                
Pavardė566        Vardas566           7.11                
Pavardė918        Vardas918           7.12                
Pavardė544        Vardas544           7.12                
Pavardė263        Vardas263           7.12                
Pavardė185        Vardas185           7.12                
Pavardė189        Vardas189           7.13                
Pavardė198        Vardas198           7.13                
Pavardė39         Vardas39            7.15                
Pavardė256        Vardas256           7.15                
Pavardė896        Vardas896           7.17                
Pavardė971        Vardas971           7.17                
Pavardė246        Vardas246           7.19                
Pavardė666        Vardas666           7.19                
Pavardė644        Vardas644           7.20                
Pavardė995        Vardas995           7.20                
Pavardė119        Vardas119           7.20                
Pavardė264        Vardas264           7.20                
Pavardė162        Vardas162           7.24                
Pavardė816        Vardas816           7.24                
Pavardė107        Vardas107           7.27                
Pavardė858        Vardas858           7.27                
Pavardė291        Vardas291           7.27                
Pavardė889        Vardas889           7.28                
Pavardė455        Vardas455           7.29                
Pavardė885        Vardas885           7.29                
Pavardė126        Vardas126           7.29                
Pavardė806        Vardas806           7.29                
Pavardė156        Vardas156           7.31                
Pavardė551        Vardas551           7.32                
Pavardė518        Vardas518           7.33                
Pavardė85         Vardas85            7.35                
Pavardė318        Vardas318           7.35                
Pavardė190        Vardas190           7.36                
Pavardė812        Vardas812           7.36                
Pavardė130        Vardas130           7.37                
Pavardė708        Vardas708           7.37                
Pavardė983        Vardas983           7.37                
Pavardė603        Vardas603           7.37                
Pavardė305        Vardas305           7.37                
Pavardė711        Vardas711           7.39                
Pavardė997        Vardas997           7.39                
Pavardė607        Vardas607           7.39                
Pavardė170        Vardas170           7.40                
Pavardė359        Vardas359           7.40                
Pavardė571        Vardas571           7.40                
Pavardė111        Vardas111           7.40                
Pavardė335        Vardas335           7.40                
Pavardė717        Vardas717           7.40                
Pavardė187        Vardas187           7.41                
Pavardė642        Vardas642           7.41                
Pavardė631        Vardas631           7.41                
Pavardė74         Vardas74            7.41                
Pavardė802        Vardas802           7.43                
Pavardė414        Vardas414           7.43                
Pavardė454        Vardas454           7.44                
Pavardė218        Vardas218           7.44                
Pavardė445        Vardas445           7.45                
Pavardė222        Vardas222           7.45                
Pavardė942        Vardas942           7.47                
Pavardė890        Vardas890           7.48                
Pavardė809        Vardas809           7.48                
Pavardė506        Vardas506           7.48                
Pavardė554        Vardas554           7.49                
Pavardė901        Vardas901           7.51                
Pavardė650        Vardas650           7.51                
Pavardė931        Vardas931           7.51                
Pavardė776        Vardas776           7.53                
Pavardė294        Vardas294           7.53                
Pavardė747        Vardas747           7.53                
Pavardė550        Vardas550           7.53                
Pavardė191        Vardas191           7.53                
Pavardė95         Vardas95            7.53                
Pavardė584        Vardas584           7.55                
Pavardė471        Vardas471           7.55                
Pavardė480        Vardas480           7.56                
Pavardė316        Vardas316           7.57                
Pavardė384        Vardas384           7.57                
Pavardė201        Vardas201           7.59                
Pavardė220        Vardas220           7.59                
Pavardė709        Vardas709           7.59                
Pavardė68         Vardas68            7.59                
Pavardė272        Vardas272           7.59                
Pavardė585        Vardas585           7.59                
Pavardė949        Vardas949           7.60                
Pavardė175        Vardas175           7.60                
Pavardė746        Vardas746           7.60                
Pavardė403        Vardas403           7.60                
Pavardė557        Vardas557           7.61                
Pavardė328        Vardas328           7.63                
Pavardė362        Vardas362           7.64                
Pavardė721        Vardas721           7.64                
Pavardė879        Vardas879           7.65                
Pavardė991        Vardas991           7.65                
Pavardė373        Vardas373           7.67                
Pavardė59         Vardas59            7.68                
Pavardė713        Vardas713           7.68                
Pavardė702        Vardas702           7.69                
Pavardė720        Vardas720           7.69                
Pavardė186        Vardas186           7.69                
Pavardė369        Vardas369           7.72                
Pavardė825        Vardas825           7.72                
Pavardė797        Vardas797           7.72                
Pavardė131        Vardas131           7.72                
Pavardė749        Vardas749           7.72                
Pavardė241        Vardas241           7.72                
Pavardė489        Vardas489           7.72                
Pavardė863        Vardas863           7.72                
Pavardė822        Vardas822           7.73                
Pavardė941        Vardas941           7.73                
Pavardė221        Vardas221           7.73                
Pavardė716        Vardas716           7.75                
Pavardė396        Vardas396           7.75                
Pavardė209        Vardas209           7.75                
Pavardė334        Vardas334           7.76                
Pavardė491        Vardas491           7.76                
Pavardė344        Vardas344           7.76                
Pavardė852        Vardas852           7.76                
Pavardė93         Vardas93            7.77                
Pavardė847        Vardas847           7.77                
Pavardė40         Vardas40            7.77                
Pavardė413        Vardas413           7.79                
Pavardė810        Vardas810           7.79                
Pavardė851        Vardas851           7.79                
Pavardė240        Vardas240           7.80                
Pavardė495        Vardas495           7.80                
Pavardė477        Vardas477           7.81                
Pavardė510        Vardas510           7.84                
Pavardė968        Vardas968           7.84                
Pavardė794        Vardas794           7.87                
Pavardė183        Vardas183           7.87                
Pavardė406        Vardas406           7.87                
Pavardė836        Vardas836           7.87                
Pavardė172        Vardas172           7.88                
Pavardė685        Vardas685           7.89                
Pavardė82         Vardas82            7.89                
Pavardė320        Vardas320           7.89                
Pavardė360        Vardas360           7.89                
Pavardė343        Vardas343           7.92                
Pavardė428        Vardas428           7.92                
Pavardė662        Vardas662           7.92                
Pavardė703        Vardas703           7.92                
Pavardė556        Vardas556           7.95                
Pavardė588        Vardas588           7.95                
Pavardė142        Vardas142           7.95                
Pavardė192        Vardas192           7.96                
Pavardė924        Vardas924           7.97                
Pavardė772        Vardas772           7.97                
Pavardė828        Vardas828           7.97                
Pavardė601        Vardas601           7.97                
Pavardė779        Vardas779           7.97                
Pavardė129        Vardas129           7.99                
Pavardė176        Vardas176           7.99                
Pavardė842        Vardas842           7.99                
Pavardė604        Vardas604           8.00                
Pavardė939        Vardas939           8.00                
Pavardė974        Vardas974           8.00                
Pavardė88         Vardas88            8.00                
Pavardė488        Vardas488           8.01                
Pavardė127        Vardas127           8.03                
Pavardė856        Vardas856           8.03                
Pavardė936        Vardas936           8.03                
Pavardė593        Vardas593           8.03                
Pavardė485        Vardas485           8.05                
Pavardė280        Vardas280           8.05                
Pavardė370        Vardas370           8.05                
Pavardė841        Vardas841           8.05                
Pavardė321        Vardas321           8.05                
Pavardė124        Vardas124           8.08                
Pavardė663        Vardas663           8.08                
Pavardė161        Vardas161           8.08                
Pavardė310        Vardas310           8.08                
Pavardė342        Vardas342           8.08                
Pavardė31         Vardas31            8.11                
Pavardė909        Vardas909           8.11                
Pavardė952        Vardas952           8.11                
Pavardė399        Vardas399           8.11                
Pavardė715        Vardas715           8.11                
Pavardė892        Vardas892           8.13                
Pavardė138        Vardas138           8.16                
Pavardė595        Vardas595           8.16                
Pavardė365        Vardas365           8.19                
Pavardė796        Vardas796           8.27                
Pavardė386        Vardas386           8.27                
Pavardė996        Vardas996           8.27                
Pavardė665        Vardas665           8.29                
Pavardė793        Vardas793           8.32                
Pavardė647        Vardas647           8.35                
Pavardė853        Vardas853           8.35                
Pavardė919        Vardas919           8.35                
Pavardė3          Vardas3             8.37                
Pavardė606        Vardas606           8.37                
Pavardė15         Vardas15            8.43                
Pavardė938        Vardas938           8.43                
Pavardė597        Vardas597           8.43                
Pavardė444        Vardas444           8.45                
Pavardė350        Vardas350           8.48                
Pavardė36         Vardas36            8.51                
Pavardė581        Vardas581           8.51                
Pavardė434        Vardas434           8.51                
Pavardė616        Vardas616           8.56                
Pavardė110        Vardas110           8.59                
Pavardė505        Vardas505           8.59                
Pavardė742        Vardas742           8.61                
Pavardė465        Vardas465           8.64                
Pavardė780        Vardas780           8.72                
Pavardė902        Vardas902           8.77                
Pavardė467        Vardas467           8.83                
