Pavardė            Vardas              Galutinis (vid.)    
Pavardė177         Vardas177           5.40                
Pavardė178         Vardas178           4.56                
Pavardė179         Vardas179           3.68                
Pavardė18          Vardas18            3.60                
Pavardė180         Vardas180           3.24                
Pavardė181         Vardas181           3.76                
Pavardė182         Vardas182           5.04                
Pavardė183         Vardas183           6.32                
Pavardė184         Vardas184           7.88                
Pavardė185         Vardas185           7.08                
Pavardė186         Vardas186           4.00                
Pavardė187         Vardas187           2.48                
Pavardė188         Vardas188           2.24                
Pavardė189         Vardas189           5.88                
Pavardė19          Vardas19            6.96                
Pavardė190         Vardas190           8.28                
Pavardė191         Vardas191           3.92                
Pavardė192         Vardas192           4.72                
Pavardė193         Vardas193           5.80                
Pavardė194         Vardas194           2.68                
Pavardė195         Vardas195           6.68                
Pavardė196         Vardas196           5.68                
Pavardė197         Vardas197           4.76                
Pavardė198         Vardas198           4.00                
Pavardė199         Vardas199           3.00                
Pavardė2           Vardas2             5.20                
Pavardė20          Vardas20            5.48                
Pavardė200         Vardas200           6.64                
Pavardė201         Vardas201           5.32                
Pavardė202         Vardas202           1.44                
Pavardė203         Vardas203           7.36                
Pavardė204         Vardas204           5.20                
Pavardė205         Vardas205           4.56                
Pavardė206         Vardas206           7.16                
Pavardė207         Vardas207           8.24                
Pavardė208         Vardas208           5.92                
Pavardė209         Vardas209           4.96                
Pavardė21          Vardas21            5.28                
Pavardė210         Vardas210           7.28                
Pavardė211         Vardas211           6.28                
Pavardė212         Vardas212           6.04                
Pavardė213         Vardas213           5.20                
Pavardė214         Vardas214           2.52                
Pavardė215         Vardas215           6.60                
Pavardė216         Vardas216           8.04                
Pavardė217         Vardas217           5.04                
Pavardė218         Vardas218           4.40                
Pavardė219         Vardas219           8.88                
Pavardė22          Vardas22            4.00                
Pavardė220         Vardas220           7.80                
Pavardė221         Vardas221           4.64                
Pavardė222         Vardas222           5.44                
Pavardė223         Vardas223           2.56                
Pavardė224         Vardas224           4.80                
Pavardė225         Vardas225           6.56                
Pavardė226         Vardas226           3.80                
Pavardė227         Vardas227           5.04                
Pavardė228         Vardas228           3.36                
Pavardė229         Vardas229           1.84                
Pavardė23          Vardas23            8.40                
Pavardė230         Vardas230           4.08                
Pavardė231         Vardas231           4.44                
Pavardė232         Vardas232           8.24                
Pavardė233         Vardas233           8.12                
Pavardė234         Vardas234           5.08                
Pavardė235         Vardas235           6.80                
Pavardė236         Vardas236           5.36                
Pavardė237         Vardas237           6.16                
Pavardė238         Vardas238           4.24                
Pavardė239         Vardas239           7.92                
Pavardė24          Vardas24            6.24                
Pavardė240         Vardas240           6.92                
Pavardė241         Vardas241           7.80                
Pavardė242         Vardas242           6.88                
Pavardė243         Vardas243           7.48                
Pavardė244         Vardas244           7.44                
Pavardė245         Vardas245           4.32                
Pavardė246         Vardas246           4.92                
Pavardė247         Vardas247           7.64                
Pavardė248         Vardas248           5.44                
Pavardė249         Vardas249           7.60                
Pavardė25          Vardas25            5.04                
Pavardė250         Vardas250           2.28                
Pavardė251         Vardas251           2.60                
Pavardė252         Vardas252           4.40                
Pavardė253         Vardas253           8.48                
Pavardė254         Vardas254           4.76                
Pavardė255         Vardas255           5.36                
Pavardė256         Vardas256           3.24                
Pavardė257         Vardas257           7.52                
Pavardė258         Vardas258           3.00                
Pavardė259         Vardas259           1.60                
Pavardė26          Vardas26            5.04                
Pavardė260         Vardas260           1.52                
Pavardė261         Vardas261           5.88                
Pavardė262         Vardas262           6.60                
Pavardė263         Vardas263           5.36                
Pavardė264         Vardas264           7.04                
Pavardė265         Vardas265           1.92                
Pavardė266         Vardas266           2.44                
Pavardė267         Vardas267           7.16                
Pavardė268         Vardas268           6.16                
Pavardė269         Vardas269           3.64                
Pavardė27          Vardas27            1.68                
Pavardė270         Vardas270           7.68                
Pavardė271         Vardas271           4.04                
Pavardė272         Vardas272           8.56                
Pavardė273         Vardas273           4.04                
Pavardė274         Vardas274           5.88                
Pavardė275         Vardas275           2.36                
Pavardė276         Vardas276           7.84                
Pavardė277         Vardas277           3.36                
Pavardė278         Vardas278           5.32                
Pavardė279         Vardas279           3.04                
Pavardė28          Vardas28            3.16                
Pavardė280         Vardas280           6.76                
Pavardė281         Vardas281           4.56                
Pavardė282         Vardas282           6.12                
Pavardė283         Vardas283           5.76                
Pavardė284         Vardas284           4.08                
Pavardė285         Vardas285           3.52                
Pavardė286         Vardas286           2.60                
Pavardė287         Vardas287           3.24                
Pavardė288         Vardas288           3.52                
Pavardė289         Vardas289           7.92                
Pavardė29          Vardas29            5.52                
Pavardė290         Vardas290           5.88                
Pavardė291         Vardas291           7.40                
Pavardė292         Vardas292           8.00                
Pavardė293         Vardas293           3.24                
Pavardė294         Vardas294           6.84                
Pavardė295         Vardas295           5.68                
Pavardė296         Vardas296           2.04                
Pavardė297         Vardas297           2.40                
Pavardė298         Vardas298           3.04                
Pavardė299         Vardas299           4.88                
Pavardė3           Vardas3             4.80                
Pavardė30          Vardas30            1.76                
Pavardė300         Vardas300           3.76                
Pavardė301         Vardas301           6.08                
Pavardė302         Vardas302           5.36                
Pavardė303         Vardas303           6.60                
Pavardė304         Vardas304           4.72                
Pavardė305         Vardas305           6.32                
Pavardė306         Vardas306           2.72                
Pavardė307         Vardas307           2.16                
Pavardė308         Vardas308           7.88                
Pavardė309         Vardas309           2.48                
Pavardė31          Vardas31            7.36                
Pavardė310         Vardas310           1.36                
Pavardė311         Vardas311           6.00                
Pavardė312         Vardas312           7.04                
Pavardė313         Vardas313           1.48                
Pavardė314         Vardas314           5.96                
Pavardė315         Vardas315           6.48                
Pavardė316         Vardas316           2.84                
Pavardė317         Vardas317           6.00                
Pavardė318         Vardas318           4.60                
Pavardė319         Vardas319           7.44                
Pavardė32          Vardas32            4.56                
Pavardė320         Vardas320           2.28                
Pavardė321         Vardas321           4.44                
Pavardė322         Vardas322           5.16                
Pavardė323         Vardas323           4.56                
Pavardė324         Vardas324           8.88                
Pavardė325         Vardas325           2.80                
Pavardė326         Vardas326           8.88                
Pavardė327         Vardas327           8.08                
Pavardė328         Vardas328           3.80                
Pavardė329         Vardas329           1.92                
Pavardė33          Vardas33            6.00                
Pavardė330         Vardas330           3.28                
Pavardė331         Vardas331           1.84                
Pavardė332         Vardas332           3.76                
Pavardė333         Vardas333           2.96                
Pavardė334         Vardas334           8.16                
Pavardė335         Vardas335           4.00                
Pavardė336         Vardas336           7.16                
Pavardė337         Vardas337           5.56                
Pavardė338         Vardas338           8.76                
Pavardė339         Vardas339           4.08                
Pavardė34          Vardas34            7.60                
Pavardė340         Vardas340           3.72                
Pavardė341         Vardas341           6.88                
Pavardė342         Vardas342           4.32                
Pavardė343         Vardas343           7.48                
Pavardė344         Vardas344           5.88                
Pavardė345         Vardas345           7.08                
Pavardė346         Vardas346           2.56                
Pavardė347         Vardas347           2.80                
Pavardė348         Vardas348           8.32                
Pavardė349         Vardas349           7.52                
Pavardė35          Vardas35            4.28                
Pavardė350         Vardas350           7.68                
Pavardė351         Vardas351           5.64                
Pavardė352         Vardas352           3.24                
Pavardė353         Vardas353           3.60                
Pavardė354         Vardas354           7.00                
Pavardė355         Vardas355           3.04                
Pavardė356         Vardas356           7.32                
Pavardė357         Vardas357           3.88                
Pavardė358         Vardas358           3.92                
Pavardė359         Vardas359           7.04                
Pavardė36          Vardas36            7.88                
Pavardė360         Vardas360           8.24                
Pavardė361         Vardas361           5.72                
Pavardė362         Vardas362           2.76                
Pavardė363         Vardas363           4.88                
Pavardė364         Vardas364           6.24                
Pavardė365         Vardas365           2.56                
Pavardė366         Vardas366           2.04                
Pavardė367         Vardas367           8.08                
Pavardė368         Vardas368           8.48                
Pavardė369         Vardas369           6.72                
Pavardė37          Vardas37            1.52                
Pavardė370         Vardas370           2.92                
Pavardė371         Vardas371           7.96                
Pavardė372         Vardas372           6.88                
Pavardė373         Vardas373           8.08                
Pavardė374         Vardas374           4.52                
Pavardė375         Vardas375           5.76                
Pavardė376         Vardas376           5.20                
Pavardė377         Vardas377           6.12                
Pavardė378         Vardas378           7.04                
Pavardė379         Vardas379           6.44                
Pavardė38          Vardas38            5.44                
Pavardė380         Vardas380           3.60                
Pavardė381         Vardas381           2.88                
Pavardė382         Vardas382           5.88                
Pavardė383         Vardas383           3.20                
Pavardė384         Vardas384           2.92                
Pavardė385         Vardas385           8.40                
Pavardė386         Vardas386           6.24                
Pavardė387         Vardas387           4.88                
Pavardė388         Vardas388           4.28                
Pavardė389         Vardas389           7.44                
Pavardė39          Vardas39            3.04                
Pavardė390         Vardas390           3.32                
Pavardė391         Vardas391           6.76                
Pavardė392         Vardas392           3.60                
Pavardė393         Vardas393           6.52                
Pavardė394         Vardas394           3.28                
Pavardė395         Vardas395           7.56                
Pavardė396         Vardas396           2.64                
Pavardė397         Vardas397           3.60                
Pavardė398         Vardas398           7.40                
Pavardė399         Vardas399           7.40                
Pavardė4           Vardas4             7.60                
Pavardė40          Vardas40            1.20                
Pavardė400         Vardas400           5.12                
Pavardė401         Vardas401           4.72                
Pavardė402         Vardas402           2.16                
Pavardė403         Vardas403           4.00                
Pavardė404         Vardas404           2.72                
Pavardė405         Vardas405           2.08                
Pavardė406         Vardas406           7.96                
Pavardė407         Vardas407           7.44                
Pavardė408         Vardas408           7.72                
Pavardė409         Vardas409           4.80                
Pavardė41          Vardas41            6.12                
Pavardė410         Vardas410           6.24                
Pavardė411         Vardas411           5.32                
Pavardė412         Vardas412           3.04                
Pavardė413         Vardas413           3.36                
Pavardė414         Vardas414           1.64                
Pavardė415         Vardas415           3.96                
Pavardė416         Vardas416           7.04                
Pavardė417         Vardas417           4.32                
Pavardė418         Vardas418           6.04                
Pavardė419         Vardas419           3.88                
Pavardė42          Vardas42            8.20                
Pavardė420         Vardas420           4.36                
Pavardė421         Vardas421           6.96                
Pavardė422         Vardas422           3.12                
Pavardė423         Vardas423           5.68                
Pavardė424         Vardas424           6.20                
Pavardė425         Vardas425           8.12                
Pavardė426         Vardas426           4.48                
Pavardė427         Vardas427           6.32                
Pavardė428         Vardas428           3.48                
Pavardė429         Vardas429           7.16                
Pavardė43          Vardas43            8.36                
Pavardė430         Vardas430           2.76                
Pavardė431         Vardas431           5.16                
Pavardė432         Vardas432           3.16                
Pavardė433         Vardas433           4.44                
Pavardė434         Vardas434           1.72                
Pavardė435         Vardas435           8.32                
Pavardė436         Vardas436           7.60                
Pavardė437         Vardas437           2.96                
Pavardė438         Vardas438           2.60                
Pavardė439         Vardas439           6.04                
Pavardė44          Vardas44            4.00                
Pavardė440         Vardas440           3.08                
Pavardė441         Vardas441           7.28                
Pavardė442         Vardas442           6.20                
Pavardė443         Vardas443           3.96                
Pavardė444         Vardas444           4.96                
Pavardė445         Vardas445           6.16                
Pavardė446         Vardas446           1.92                
Pavardė447         Vardas447           7.36                
Pavardė448         Vardas448           2.12                
Pavardė449         Vardas449           5.52                
Pavardė45          Vardas45            5.76                
Pavardė450         Vardas450           4.40                
Pavardė451         Vardas451           1.88                
Pavardė452         Vardas452           3.88                
Pavardė453         Vardas453           4.32                
Pavardė454         Vardas454           7.36                
Pavardė455         Vardas455           5.08                
Pavardė456         Vardas456           5.96                
Pavardė457         Vardas457           3.88                
Pavardė458         Vardas458           7.44                
Pavardė459         Vardas459           4.68                
Pavardė46          Vardas46            4.80                
Pavardė460         Vardas460           2.32                
Pavardė461         Vardas461           6.52                
Pavardė462         Vardas462           2.48                
Pavardė463         Vardas463           4.16                
Pavardė464         Vardas464           8.16                
Pavardė465         Vardas465           7.64                
Pavardė466         Vardas466           4.76                
Pavardė467         Vardas467           7.68                
Pavardė468         Vardas468           7.36                
Pavardė469         Vardas469           8.08                
Pavardė47          Vardas47            2.48                
Pavardė470         Vardas470           8.72                
Pavardė471         Vardas471           7.52                
Pavardė472         Vardas472           7.68                
Pavardė473         Vardas473           4.04                
Pavardė474         Vardas474           5.04                
Pavardė475         Vardas475           3.12                
Pavardė476         Vardas476           6.48                
Pavardė477         Vardas477           7.44                
Pavardė478         Vardas478           4.12                
Pavardė479         Vardas479           5.32                
Pavardė48          Vardas48            7.52                
Pavardė480         Vardas480           4.56                
Pavardė481         Vardas481           8.72                
Pavardė482         Vardas482           7.88                
Pavardė483         Vardas483           2.64                
Pavardė484         Vardas484           6.00                
Pavardė485         Vardas485           3.12                
Pavardė486         Vardas486           6.32                
Pavardė487         Vardas487           3.36                
Pavardė488         Vardas488           7.24                
Pavardė489         Vardas489           3.68                
Pavardė49          Vardas49            5.40                
Pavardė490         Vardas490           5.64                
Pavardė491         Vardas491           4.40                
Pavardė492         Vardas492           5.32                
Pavardė493         Vardas493           6.48                
Pavardė494         Vardas494           5.32                
Pavardė495         Vardas495           5.40                
Pavardė496         Vardas496           2.40                
Pavardė497         Vardas497           3.80                
Pavardė498         Vardas498           4.88                
Pavardė499         Vardas499           2.56                
Pavardė5           Vardas5             5.52                
Pavardė50          Vardas50            6.56                
Pavardė500         Vardas500           2.80                
Pavardė501         Vardas501           5.16                
Pavardė502         Vardas502           1.76                
Pavardė503         Vardas503           2.08                
Pavardė504         Vardas504           5.20                
Pavardė505         Vardas505           4.80                
Pavardė506         Vardas506           4.36                
Pavardė507         Vardas507           7.84                
Pavardė508         Vardas508           8.16                
Pavardė509         Vardas509           5.52                
Pavardė51          Vardas51            5.08                
Pavardė510         Vardas510           3.92                
Pavardė511         Vardas511           3.72                
Pavardė512         Vardas512           7.92                
Pavardė513         Vardas513           8.88                
Pavardė514         Vardas514           2.56                
Pavardė515         Vardas515           7.48                
Pavardė516         Vardas516           3.44                
Pavardė517         Vardas517           8.04                
Pavardė518         Vardas518           3.16                
Pavardė519         Vardas519           2.04                
Pavardė52          Vardas52            1.04                
Pavardė520         Vardas520           2.96                
Pavardė521         Vardas521           8.08                
Pavardė522         Vardas522           2.68                
Pavardė523         Vardas523           6.16                
Pavardė524         Vardas524           4.16                
Pavardė525         Vardas525           4.44                
Pavardė526         Vardas526           5.80                
Pavardė527         Vardas527           3.52                
Pavardė528         Vardas528           2.76                
Pavardė529         Vardas529           3.08                
Pavardė53          Vardas53            5.76                
Pavardė530         Vardas530           7.24                
Pavardė531         Vardas531           3.20                
Pavardė532         Vardas532           3.72                
Pavardė533         Vardas533           5.72                
Pavardė534         Vardas534           6.28                
Pavardė535         Vardas535           5.76                
Pavardė536         Vardas536           3.12                
Pavardė537         Vardas537           0.32                
Pavardė538         Vardas538           7.00                
Pavardė539         Vardas539           3.16                
Pavardė54          Vardas54            7.60                
Pavardė540         Vardas540           5.76                
Pavardė541         Vardas541           5.20                
Pavardė542         Vardas542           3.44                
Pavardė543         Vardas543           3.60                
Pavardė544         Vardas544           4.72                
Pavardė545         Vardas545           5.32                
Pavardė546         Vardas546           5.92                
Pavardė547         Vardas547           5.08                
Pavardė548         Vardas548           4.28                
Pavardė549         Vardas549           9.12                
Pavardė55          Vardas55            7.00                
Pavardė550         Vardas550           1.80                
Pavardė551         Vardas551           4.84                
Pavardė552         Vardas552           6.12                
Pavardė553         Vardas553           5.16                
Pavardė554         Vardas554           3.64                
Pavardė555         Vardas555           2.68                
Pavardė556         Vardas556           3.08                
Pavardė557         Vardas557           6.92                
Pavardė558         Vardas558           4.76                
Pavardė559         Vardas559           3.68                
Pavardė56          Vardas56            6.24                
Pavardė560         Vardas560           2.04                
Pavardė561         Vardas561           3.96                
Pavardė562         Vardas562           3.52                
Pavardė563         Vardas563           2.08                
Pavardė564         Vardas564           1.64                
Pavardė565         Vardas565           5.72                
Pavardė566         Vardas566           7.60                
Pavardė567         Vardas567           2.68                
Pavardė568         Vardas568           5.88                
Pavardė569         Vardas569           5.56                
Pavardė57          Vardas57            5.56                
Pavardė570         Vardas570           3.72                
Pavardė571         Vardas571           2.44                
Pavardė572         Vardas572           8.12                
Pavardė573         Vardas573           2.52                
Pavardė574         Vardas574           6.40                
Pavardė575         Vardas575           3.60                
Pavardė576         Vardas576           4.32                
Pavardė577         Vardas577           6.00                
Pavardė578         Vardas578           2.76                
Pavardė579         Vardas579           8.24                
Pavardė58          Vardas58            4.16                
Pavardė580         Vardas580           7.88                
Pavardė581         Vardas581           3.04                
Pavardė582         Vardas582           5.44                
Pavardė583         Vardas583           3.68                
Pavardė584         Vardas584           4.64                
Pavardė585         Vardas585           3.56                
Pavardė586         Vardas586           3.84                
Pavardė587         Vardas587           2.00                
Pavardė588         Vardas588           6.20                
Pavardė589         Vardas589           2.68                
Pavardė59          Vardas59            6.44                
Pavardė590         Vardas590           8.44                
Pavardė591         Vardas591           5.96                
Pavardė592         Vardas592           4.00                
Pavardė593         Vardas593           3.92                
Pavardė594         Vardas594           5.16                
Pavardė595         Vardas595           4.32                
Pavardė596         Vardas596           7.20                
Pavardė597         Vardas597           9.04                
Pavardė598         Vardas598           3.36                
Pavardė599         Vardas599           2.52                
Pavardė6           Vardas6             4.40                
Pavardė60          Vardas60            3.76                
Pavardė600         Vardas600           5.80                
Pavardė601         Vardas601           7.08                
Pavardė602         Vardas602           2.12                
Pavardė603         Vardas603           7.04                
Pavardė604         Vardas604           2.88                
Pavardė605         Vardas605           3.52                
Pavardė606         Vardas606           6.88                
Pavardė607         Vardas607           8.36                
Pavardė608         Vardas608           6.64                
Pavardė609         Vardas609           6.16                
Pavardė61          Vardas61            5.12                
Pavardė610         Vardas610           2.84                
Pavardė611         Vardas611           4.04                
Pavardė612         Vardas612           3.44                
Pavardė613         Vardas613           6.84                
Pavardė614         Vardas614           5.32                
Pavardė615         Vardas615           2.36                
Pavardė616         Vardas616           5.20                
Pavardė617         Vardas617           4.80                
Pavardė618         Vardas618           3.00                
Pavardė619         Vardas619           2.40                
Pavardė62          Vardas62            5.08                
Pavardė620         Vardas620           4.20                
Pavardė621         Vardas621           5.84                
Pavardė622         Vardas622           7.28                
Pavardė623         Vardas623           2.92                
Pavardė624         Vardas624           6.88                
Pavardė625         Vardas625           3.68                
Pavardė626         Vardas626           3.24                
Pavardė627         Vardas627           6.84                
Pavardė628         Vardas628           4.64                
Pavardė629         Vardas629           9.04                
Pavardė63          Vardas63            7.44                
Pavardė630         Vardas630           6.68                
Pavardė631         Vardas631           7.88                
Pavardė632         Vardas632           2.80                
Pavardė633         Vardas633           2.16                
Pavardė634         Vardas634           6.84                
Pavardė635         Vardas635           2.64                
Pavardė636         Vardas636           8.40                
Pavardė637         Vardas637           3.72                
Pavardė638         Vardas638           2.24                
Pavardė639         Vardas639           2.48                
Pavardė64          Vardas64            7.68                
Pavardė640         Vardas640           2.44                
Pavardė641         Vardas641           2.48                
Pavardė642         Vardas642           7.88                
Pavardė643         Vardas643           6.92                
Pavardė644         Vardas644           6.36                
Pavardė645         Vardas645           4.08                
Pavardė646         Vardas646           7.08                
Pavardė647         Vardas647           5.48                
Pavardė648         Vardas648           2.40                
Pavardė649         Vardas649           4.56                
Pavardė65          Vardas65            4.28                
Pavardė650         Vardas650           4.64                
Pavardė651         Vardas651           7.16                
Pavardė652         Vardas652           6.24                
Pavardė653         Vardas653           2.24                
Pavardė654         Vardas654           7.92                
Pavardė655         Vardas655           2.04                
Pavardė656         Vardas656           6.04                
Pavardė657         Vardas657           1.76                
Pavardė658         Vardas658           5.64                
Pavardė659         Vardas659           5.04                
Pavardė66          Vardas66            5.56                
Pavardė660         Vardas660           4.44                
Pavardė661         Vardas661           3.56                
Pavardė662         Vardas662           1.92                
Pavardė663         Vardas663           7.00                
Pavardė664         Vardas664           2.56                
Pavardė665         Vardas665           1.52                
Pavardė666         Vardas666           1.92                
Pavardė667         Vardas667           7.48                
Pavardė668         Vardas668           5.04                
Pavardė669         Vardas669           2.40                
Pavardė67          Vardas67            6.80                
Pavardė670         Vardas670           0.56                
Pavardė671         Vardas671           2.44                
Pavardė672         Vardas672           2.76                
Pavardė673         Vardas673           6.72                
Pavardė674         Vardas674           4.92                
Pavardė675         Vardas675           2.92                
Pavardė676         Vardas676           4.48                
Pavardė677         Vardas677           6.32                
Pavardė678         Vardas678           4.52                
Pavardė679         Vardas679           3.16                
Pavardė68          Vardas68            5.52                
Pavardė680         Vardas680           6.92                
Pavardė681         Vardas681           3.96                
Pavardė682         Vardas682           2.08                
Pavardė683         Vardas683           6.52                
Pavardė684         Vardas684           7.64                
Pavardė685         Vardas685           2.04                
Pavardė686         Vardas686           2.52                
Pavardė687         Vardas687           6.48                
Pavardė688         Vardas688           7.56                
Pavardė689         Vardas689           7.44                
Pavardė69          Vardas69            3.28                
Pavardė690         Vardas690           6.32                
Pavardė691         Vardas691           2.60                
Pavardė692         Vardas692           7.44                
Pavardė693         Vardas693           7.64                
Pavardė694         Vardas694           5.04                
Pavardė695         Vardas695           3.32                
Pavardė696         Vardas696           0.96                
Pavardė697         Vardas697           7.28                
Pavardė698         Vardas698           6.44                
Pavardė699         Vardas699           5.96                
Pavardė7           Vardas7             6.32                
Pavardė70          Vardas70            3.32                
Pavardė700         Vardas700           4.56                
Pavardė701         Vardas701           6.16                
Pavardė702         Vardas702           3.32                
Pavardė703         Vardas703           4.60                
Pavardė704         Vardas704           5.20                
Pavardė705         Vardas705           3.08                
Pavardė706         Vardas706           1.44                
Pavardė707         Vardas707           5.16                
Pavardė708         Vardas708           4.12                
Pavardė709         Vardas709           3.32                
Pavardė71          Vardas71            5.72                
Pavardė710         Vardas710           1.84                
Pavardė711         Vardas711           4.40                
Pavardė712         Vardas712           6.68                
Pavardė713         Vardas713           4.04                
Pavardė714         Vardas714           3.16                
Pavardė715         Vardas715           6.64                
Pavardė716         Vardas716           2.48                
Pavardė717         Vardas717           5.12                
Pavardė718         Vardas718           1.88                
Pavardė719         Vardas719           5.04                
Pavardė72          Vardas72            3.60                
Pavardė720         Vardas720           6.84                
Pavardė721         Vardas721           5.76                
Pavardė722         Vardas722           6.00                
Pavardė723         Vardas723           6.76                
Pavardė724         Vardas724           5.80                
Pavardė725         Vardas725           2.64                
Pavardė726         Vardas726           3.92                
Pavardė727         Vardas727           7.40                
Pavardė728         Vardas728           7.52                
Pavardė729         Vardas729           6.12                
Pavardė73          Vardas73            2.08                
Pavardė730         Vardas730           2.84                
Pavardė731         Vardas731           5.88                
Pavardė732         Vardas732           2.72                
Pavardė733         Vardas733           4.60                
Pavardė734         Vardas734           5.32                
Pavardė735         Vardas735           3.92                
Pavardė736         Vardas736           2.24                
Pavardė737         Vardas737           7.72                
Pavardė738         Vardas738           4.84                
Pavardė739         Vardas739           6.16                
Pavardė74          Vardas74            5.36                
Pavardė740         Vardas740           2.72                
Pavardė741         Vardas741           1.88                
Pavardė742         Vardas742           5.08                
Pavardė743         Vardas743           7.00                
Pavardė744         Vardas744           5.36                
Pavardė745         Vardas745           2.28                
Pavardė746         Vardas746           5.84                
Pavardė747         Vardas747           3.04                
Pavardė748         Vardas748           8.00                
Pavardė749         Vardas749           2.80                
Pavardė75          Vardas75            2.08                
Pavardė750         Vardas750           6.32                
Pavardė751         Vardas751           3.52                
Pavardė752         Vardas752           1.68                
Pavardė753         Vardas753           5.76                
Pavardė754         Vardas754           7.24                
Pavardė755         Vardas755           5.92                
Pavardė756         Vardas756           2.88                
Pavardė757         Vardas757           5.88                
Pavardė758         Vardas758           7.04                
Pavardė759         Vardas759           3.20                
Pavardė76          Vardas76            5.56                
Pavardė760         Vardas760           2.96                
Pavardė761         Vardas761           2.44                
Pavardė762         Vardas762           2.48                
Pavardė763         Vardas763           4.16                
Pavardė764         Vardas764           8.20                
Pavardė765         Vardas765           3.40                
Pavardė766         Vardas766           7.60                
Pavardė767         Vardas767           1.52                
Pavardė768         Vardas768           2.96                
Pavardė769         Vardas769           5.16                
Pavardė77          Vardas77            7.08                
Pavardė770         Vardas770           6.40                
Pavardė771         Vardas771           6.92                
Pavardė772         Vardas772           6.24                
Pavardė773         Vardas773           1.44                
Pavardė774         Vardas774           5.20                
Pavardė775         Vardas775           6.60                
Pavardė776         Vardas776           4.48                
Pavardė777         Vardas777           7.04                
Pavardė778         Vardas778           6.04                
Pavardė779         Vardas779           6.00                
Pavardė78          Vardas78            5.28                
Pavardė780         Vardas780           6.08                
Pavardė781         Vardas781           5.68                
Pavardė782         Vardas782           3.04                
Pavardė783         Vardas783           8.20                
Pavardė784         Vardas784           5.76                
Pavardė785         Vardas785           4.00                
Pavardė786         Vardas786           3.08                
Pavardė787         Vardas787           2.12                
Pavardė788         Vardas788           6.80                
Pavardė789         Vardas789           5.84                
Pavardė79          Vardas79            5.48                
Pavardė790         Vardas790           5.20                
Pavardė791         Vardas791           6.16                
Pavardė792         Vardas792           0.96                
Pavardė793         Vardas793           4.04                
Pavardė794         Vardas794           6.48                
Pavardė795         Vardas795           2.96                
