Pavardė       Vardas         Galutinis (vid.)    Galutinis (med.)    
Pavardė472   Vardas472      4.04                4.60                
Pavardė473   Vardas473      4.20                3.80                
Pavardė474   Vardas474      2.00                2.00                
Pavardė475   Vardas475      1.88                1.80                
Pavardė476   Vardas476      4.48                4.40                
Pavardė477   Vardas477      2.92                2.60                
Pavardė478   Vardas478      3.92                4.00                
Pavardė481   Vardas481      3.48                3.40                
Pavardė483   Vardas483      3.68                3.60                
Pavardė484   Vardas484      2.32                2.40                
Pavardė485   Vardas485      3.28                3.60                
Pavardė487   Vardas487      2.80                3.20                
Pavardė488   Vardas488      4.00                4.00                
Pavardė489   Vardas489      2.56                2.80                
Pavardė49    Vardas49       1.52                1.60                
Pavardė490   Vardas490      3.48                3.80                
Pavardė492   Vardas492      4.64                4.00                
Pavardė495   Vardas495      2.76                2.20                
Pavardė496   Vardas496      4.24                4.80                
Pavardė498   Vardas498      3.20                3.20                
Pavardė499   Vardas499      4.88                5.20                
Pavardė50    Vardas50       4.92                4.60                
Pavardė500   Vardas500      4.68                4.20                
Pavardė501   Vardas501      3.12                2.40                
Pavardė503   Vardas503      4.68                3.80                
Pavardė504   Vardas504      4.72                5.20                
Pavardė509   Vardas509      2.48                2.80                
Pavardė510   Vardas510      1.36                0.80                
Pavardė512   Vardas512      1.44                1.20                
Pavardė513   Vardas513      3.68                4.00                
Pavardė515   Vardas515      1.96                1.40                
Pavardė517   Vardas517      1.12                0.80                
Pavardė518   Vardas518      2.44                1.80                
Pavardė522   Vardas522      4.36                4.60                
Pavardė523   Vardas523      2.56                2.80                
Pavardė529   Vardas529      1.88                1.80                
Pavardė531   Vardas531      2.04                2.20                
Pavardė532   Vardas532      1.52                1.20                
Pavardė533   Vardas533      2.48                2.00                
Pavardė538   Vardas538      2.80                2.80                
Pavardė54    Vardas54       4.08                4.40                
Pavardė540   Vardas540      3.48                3.00                
Pavardė541   Vardas541      2.16                2.40                
Pavardė542   Vardas542      2.76                2.60                
Pavardė545   Vardas545      3.28                2.80                
Pavardė546   Vardas546      4.24                4.00                
Pavardė547   Vardas547      3.64                3.80                
Pavardė548   Vardas548      3.32                3.00                
Pavardė549   Vardas549      2.76                3.00                
Pavardė55    Vardas55       3.72                4.20                
Pavardė551   Vardas551      3.44                3.60                
Pavardė553   Vardas553      1.80                1.80                
Pavardė556   Vardas556      3.44                3.60                
Pavardė557   Vardas557      2.12                1.80                
Pavardė558   Vardas558      3.16                4.20                
Pavardė56    Vardas56       2.00                2.40                
Pavardė560   Vardas560      4.88                4.40                
Pavardė562   Vardas562      0.64                0.40                
Pavardė563   Vardas563      4.12                4.20                
Pavardė564   Vardas564      1.20                1.20                
Pavardė565   Vardas565      4.52                5.00                
Pavardė566   Vardas566      4.32                4.40                
Pavardė570   Vardas570      4.28                4.60                
Pavardė573   Vardas573      2.80                4.00                
Pavardė578   Vardas578      4.52                4.20                
Pavardė582   Vardas582      2.36                2.20                
Pavardė586   Vardas586      1.84                1.60                
Pavardė587   Vardas587      2.92                2.60                
Pavardė588   Vardas588      3.20                3.20                
Pavardė59    Vardas59       2.32                3.20                
Pavardė592   Vardas592      3.56                3.40                
Pavardė594   Vardas594      2.20                1.80                
Pavardė598   Vardas598      4.40                4.40                
Pavardė600   Vardas600      4.36                4.20                
Pavardė602   Vardas602      1.04                0.40                
Pavardė603   Vardas603      3.40                3.00                
Pavardė605   Vardas605      3.28                3.60                
Pavardė608   Vardas608      3.28                3.60                
Pavardė61    Vardas61       3.48                3.00                
Pavardė610   Vardas610      2.88                3.20                
Pavardė613   Vardas613      2.44                2.20                
Pavardė615   Vardas615      3.32                3.40                
Pavardė617   Vardas617      2.48                2.00                
Pavardė619   Vardas619      2.60                3.00                
Pavardė621   Vardas621      3.76                4.00                
Pavardė625   Vardas625      3.16                3.00                
Pavardė628   Vardas628      3.92                4.00                
Pavardė629   Vardas629      4.52                5.00                
Pavardė630   Vardas630      4.64                5.20                
Pavardė632   Vardas632      4.84                4.60                
Pavardė633   Vardas633      3.20                3.20                
Pavardė637   Vardas637      3.36                3.60                
Pavardė639   Vardas639      4.92                4.60                
Pavardė640   Vardas640      3.92                4.80                
Pavardė641   Vardas641      2.16                2.00                
Pavardė642   Vardas642      4.56                5.20                
Pavardė644   Vardas644      1.64                1.00                
Pavardė646   Vardas646      4.20                5.00                
Pavardė647   Vardas647      1.88                1.40                
Pavardė648   Vardas648      2.60                2.20                
Pavardė649   Vardas649      3.64                3.40                
Pavardė65    Vardas65       3.64                3.40                
Pavardė650   Vardas650      4.28                4.60                
Pavardė651   Vardas651      2.56                1.60                
Pavardė652   Vardas652      2.24                1.60                
Pavardė655   Vardas655      1.40                0.60                
Pavardė658   Vardas658      3.72                4.20                
Pavardė660   Vardas660      2.64                3.20                
Pavardė661   Vardas661      4.80                5.60                
Pavardė663   Vardas663      3.08                3.00                
Pavardė669   Vardas669      2.16                2.40                
Pavardė67    Vardas67       4.64                4.40                
Pavardė670   Vardas670      3.12                3.20                
Pavardė671   Vardas671      4.08                4.40                
Pavardė672   Vardas672      3.56                3.00                
Pavardė677   Vardas677      4.68                4.60                
Pavardė678   Vardas678      3.44                3.60                
Pavardė679   Vardas679      4.92                4.60                
Pavardė680   Vardas680      1.52                1.20                
Pavardė681   Vardas681      4.48                4.00                
Pavardė682   Vardas682      4.00                3.20                
Pavardė683   Vardas683      3.12                2.80                
Pavardė688   Vardas688      1.76                1.60                
Pavardė689   Vardas689      4.64                4.40                
Pavardė69    Vardas69       3.16                3.40                
Pavardė692   Vardas692      2.68                2.60                
Pavardė694   Vardas694      1.52                2.00                
Pavardė696   Vardas696      3.16                3.00                
Pavardė697   Vardas697      4.20                3.80                
Pavardė70    Vardas70       3.56                2.60                
Pavardė703   Vardas703      4.36                4.60                
Pavardė704   Vardas704      3.72                3.40                
Pavardė705   Vardas705      2.16                2.00                
Pavardė706   Vardas706      4.12                3.80                
Pavardė707   Vardas707      4.24                4.40                
Pavardė709   Vardas709      3.28                3.60                
Pavardė710   Vardas710      4.84                5.00                
Pavardė712   Vardas712      2.00                2.40                
Pavardė715   Vardas715      4.76                3.80                
Pavardė717   Vardas717      4.88                4.80                
Pavardė72    Vardas72       2.08                2.40                
Pavardė720   Vardas720      4.52                5.00                
Pavardė721   Vardas721      3.48                3.00                
Pavardė723   Vardas723      2.72                2.00                
Pavardė726   Vardas726      2.48                1.60                
Pavardė73    Vardas73       4.76                4.20                
Pavardė731   Vardas731      2.68                2.60                
Pavardė732   Vardas732      4.16                4.40                
Pavardė733   Vardas733      3.40                3.40                
Pavardė738   Vardas738      3.44                3.60                
Pavardė739   Vardas739      4.32                4.80                
Pavardė741   Vardas741      3.92                3.60                
Pavardė743   Vardas743      4.36                3.80                
Pavardė748   Vardas748      1.36                1.20                
Pavardė75    Vardas75       1.76                1.60                
Pavardė752   Vardas752      1.20                1.60                
Pavardė756   Vardas756      4.24                4.40                
Pavardė758   Vardas758      4.88                5.20                
Pavardė759   Vardas759      4.08                4.00                
Pavardė76    Vardas76       3.80                4.20                
Pavardė763   Vardas763      2.76                2.60                
Pavardė767   Vardas767      2.72                2.80                
Pavardė768   Vardas768      3.20                3.20                
Pavardė77    Vardas77       4.60                4.60                
Pavardė771   Vardas771      3.56                3.80                
Pavardė772   Vardas772      3.72                3.80                
Pavardė773   Vardas773      2.24                2.80                
Pavardė774   Vardas774      3.64                4.20                
Pavardė779   Vardas779      4.48                4.40                
Pavardė78    Vardas78       2.76                2.20                
Pavardė780   Vardas780      2.36                2.20                
Pavardė782   Vardas782      3.48                3.40                
Pavardė788   Vardas788      2.32                2.40                
Pavardė792   Vardas792      1.40                1.00                
Pavardė793   Vardas793      3.32                2.60                
Pavardė794   Vardas794      3.20                3.20                
Pavardė795   Vardas795      3.12                3.20                
Pavardė798   Vardas798      3.00                2.60                
Pavardė799   Vardas799      2.68                2.20                
Pavardė8     Vardas8        2.16                2.40                
Pavardė800   Vardas800      2.40                2.00                
Pavardė802   Vardas802      1.68                2.00                
Pavardė803   Vardas803      4.96                4.40                
Pavardė804   Vardas804      4.56                4.00                
Pavardė805   Vardas805      3.08                3.80                
Pavardė808   Vardas808      4.24                3.60                
Pavardė81    Vardas81       2.40                2.40                
Pavardė810   Vardas810      3.12                2.80                
Pavardė811   Vardas811      1.28                0.80                
Pavardė812   Vardas812      3.60                3.20                
Pavardė814   Vardas814      4.96                6.00                
Pavardė815   Vardas815      2.32                2.00                
Pavardė816   Vardas816      3.24                3.40                
Pavardė818   Vardas818      1.64                1.00                
Pavardė819   Vardas819      3.60                3.60                
Pavardė82    Vardas82       1.64                1.00                
Pavardė820   Vardas820      4.80                4.80                
Pavardė822   Vardas822      4.20                4.20                
Pavardė825   Vardas825      2.20                1.80                
Pavardė829   Vardas829      3.92                3.60                
Pavardė83    Vardas83       4.64                4.40                
Pavardė830   Vardas830      1.68                1.60                
Pavardė832   Vardas832      3.12                3.60                
Pavardė833   Vardas833      4.72                4.80                
Pavardė835   Vardas835      2.08                2.00                
Pavardė836   Vardas836      2.76                3.40                
Pavardė837   Vardas837      4.28                3.80                
Pavardė838   Vardas838      2.36                1.80                
Pavardė839   Vardas839      4.60                4.60                
Pavardė84    Vardas84       3.72                3.80                
Pavardė840   Vardas840      2.44                2.20                
Pavardė841   Vardas841      3.76                4.40                
Pavardė843   Vardas843      4.88                4.80                
Pavardė844   Vardas844      2.48                1.60                
Pavardė848   Vardas848      4.60                4.20                
Pavardė851   Vardas851      3.96                3.40                
Pavardė852   Vardas852      3.48                3.40                
Pavardė855   Vardas855      1.72                1.00                
Pavardė856   Vardas856      4.60                5.00                
Pavardė86    Vardas86       3.36                3.60                
Pavardė860   Vardas860      4.96                6.00                
Pavardė861   Vardas861      3.52                3.20                
Pavardė864   Vardas864      3.84                3.20                
Pavardė868   Vardas868      4.88                5.20                
Pavardė870   Vardas870      3.72                4.20                
Pavardė874   Vardas874      3.36                3.60                
Pavardė876   Vardas876      0.80                0.40                
Pavardė877   Vardas877      3.80                3.80                
Pavardė880   Vardas880      3.72                4.20                
Pavardė886   Vardas886      2.40                2.00                
Pavardė887   Vardas887      4.32                4.40                
Pavardė89    Vardas89       3.80                3.80                
Pavardė890   Vardas890      3.60                4.00                
Pavardė892   Vardas892      4.52                4.60                
Pavardė893   Vardas893      2.00                1.20                
Pavardė894   Vardas894      4.20                4.60                
Pavardė895   Vardas895      4.12                3.80                
Pavardė896   Vardas896      4.76                4.60                
Pavardė897   Vardas897      3.36                3.20                
Pavardė9     Vardas9        3.44                4.00                
Pavardė901   Vardas901      4.32                4.40                
Pavardė902   Vardas902      2.68                2.20                
Pavardė903   Vardas903      3.64                4.20                
Pavardė904   Vardas904      2.96                2.80                
Pavardė905   Vardas905      2.68                2.60                
Pavardė906   Vardas906      1.76                0.80                
Pavardė910   Vardas910      3.00                2.60                
Pavardė911   Vardas911      3.12                3.20                
Pavardė916   Vardas916      3.12                3.60                
Pavardė917   Vardas917      2.36                2.20                
Pavardė918   Vardas918      3.76                4.40                
Pavardė92    Vardas92       3.64                3.80                
Pavardė922   Vardas922      4.16                3.60                
Pavardė923   Vardas923      2.20                1.80                
Pavardė925   Vardas925      1.44                1.60                
Pavardė929   Vardas929      3.00                2.60                
Pavardė93    Vardas93       1.44                1.60                
Pavardė931   Vardas931      3.64                3.80                
Pavardė933   Vardas933      1.96                1.40                
Pavardė935   Vardas935      2.00                2.00                
Pavardė938   Vardas938      2.20                1.80                
Pavardė94    Vardas94       2.28                1.80                
Pavardė941   Vardas941      1.92                1.20                
Pavardė943   Vardas943      1.72                1.80                
Pavardė944   Vardas944      2.88                3.60                
Pavardė946   Vardas946      2.08                2.40                
Pavardė948   Vardas948      2.48                2.80                
Pavardė949   Vardas949      1.36                1.20                
Pavardė952   Vardas952      3.32                4.20                
Pavardė957   Vardas957      2.08                2.80                
Pavardė958   Vardas958      2.24                2.80                
Pavardė960   Vardas960      2.64                2.80                
Pavardė963   Vardas963      3.92                3.60                
Pavardė964   Vardas964      3.60                3.60                
Pavardė969   Vardas969      1.80                1.40                
Pavardė970   Vardas970      4.84                5.40                
Pavardė973   Vardas973      3.76                3.20                
Pavardė975   Vardas975      3.48                3.40                
Pavardė976   Vardas976      4.08                4.00                
Pavardė979   Vardas979      3.60                3.60                
Pavardė98    Vardas98       1.96                1.80                
Pavardė981   Vardas981      4.72                5.20                
Pavardė983   Vardas983      2.96                3.60                
Pavardė984   Vardas984      4.12                3.40                
Pavardė985   Vardas985      2.20                2.60                
Pavardė986   Vardas986      4.20                3.80                
Pavardė989   Vardas989      4.24                4.40                
Pavardė99    Vardas99       2.56                2.40                
Pavardė990   Vardas990      3.16                2.60                
Pavardė992   Vardas992      4.96                4.80                
Pavardė997   Vardas997      2.24                3.20                
Pavardė998   Vardas998      4.20                3.80                
