Vardas           Pavardė         ND1              ND2              ND3              ND4              ND5              ND6              ND7              ND8              ND9              ND10             ND11             ND12             ND13             ND14             ND15             EGZ              
Vardas102        Pavardė102      6                1                7                0                5                0                9                4                9                4                6                7                0                6                0                8                
Vardas103        Pavardė103      7                1                10               7                2                7                8                6                1                1                5                5                3                3                8                10               
Vardas104        Pavardė104      7                6                8                8                9                5                4                1                8                4                10               9                5                9                0                1                
Vardas105        Pavardė105      2                5                10               2                2                4                9                8                2                0                2                2                6                6                4                3                
Vardas106        Pavardė106      2                7                6                8                5                4                0                2                8                7                4                7                7                4                7                1                
Vardas107        Pavardė107      0                10               1                8                2                4                2                6                9                3                3                3                0                9                4                0                
Vardas108        Pavardė108      6                4                0                3                7                1                5                10               3                5                5                5                9                2                0                5                
Vardas109        Pavardė109      6                9                9                8                8                10               0                6                10               5                2                9                8                2                7                0                
Vardas110        Pavardė110      1                1                10               3                3                8                6                3                6                7                9                1                1                2                7                4                
Vardas111        Pavardė111      5                7                6                4                8                9                8                2                7                7                3                1                0                1                1                1                
Vardas112        Pavardė112      8                3                4                7                1                1                5                7                10               3                0                10               4                7                0                5                
Vardas113        Pavardė113      7                2                5                1                10               9                6                10               0                3                8                0                10               8                10               6                
Vardas114        Pavardė114      1                0                6                3                7                1                10               7                6                2                1                8                5                10               8                2                
Vardas115        Pavardė115      2                0                0                4                8                7                0                5                3                7                2                5                10               1                4                0                
Vardas116        Pavardė116      7                1                6                6                6                8                4                2                2                2                6                10               5                7                1                8                
Vardas117        Pavardė117      7                1                2                9                0                9                3                5                6                0                7                2                5                6                7                8                
Vardas118        Pavardė118      1                2                3                10               0                3                0                7                10               10               10               9                4                10               6                1                
Vardas119        Pavardė119      6                10               5                9                8                4                5                1                5                2                10               7                4                6                1                3                
Vardas120        Pavardė120      8                1                0                10               1                3                10               1                7                8                1                8                3                1                8                7                
Vardas121        Pavardė121      10               9                10               2                2                0                2                0                3                7                6                0                5                6                10               8                
Vardas122        Pavardė122      7                9                8                1                10               0                2                0                6                10               6                4                5                4                6                8                
Vardas123        Pavardė123      5                7                8                0                5                3                3                10               1                1                10               9                3                7                1                7                
Vardas124        Pavardė124      1                2                6                6                5                5                2                2                5                1                2                4                2                8                1                3                
Vardas125        Pavardė125      9                10               5                3                3                3                0                6                1                7                0                8                2                1                6                8                
Vardas126        Pavardė126      2                3                1                8                8                8                1                10               8                4                9                1                10               8                5                10               
Vardas127        Pavardė127      9                6                5                9                3                8                6                1                10               10               9                7                2                6                4                4                
Vardas128        Pavardė128      7                10               2                4                6                0                5                2                9                7                4                0                6                2                4                10               
Vardas129        Pavardė129      1                1                8                3                5                10               1                5                0                1                5                10               7                1                5                4                
Vardas130        Pavardė130      7                5                7                0                0                8                2                6                9                8                10               0                6                10               3                9                
Vardas131        Pavardė131      1                3                7                6                5                3                9                8                5                7                6                9                4                6                2                1                
Vardas132        Pavardė132      1                10               1                0                9                1                9                6                9                0                2                1                3                6                8                9                
Vardas133        Pavardė133      4                2                3                10               2                8                8                4                1                5                7                8                6                7                4                7                
Vardas134        Pavardė134      0                9                9                2                6                7                1                5                9                4                7                4                10               4                0                5                
Vardas135        Pavardė135      9                10               3                8                7                8                4                1                4                1                1                3                8                7                9                5                
Vardas136        Pavardė136      1                5                9                6                3                8                1                2                3                5                1                5                0                1                4                7                
Vardas137        Pavardė137      0                1                8                6                5                4                3                0                9                4                7                5                3                3                5                1                
Vardas138        Pavardė138      1                3                9                4                2                10               10               4                1                8                7                10               7                8                1                3                
Vardas139        Pavardė139      8                9                7                10               9                10               8                9                9                6                1                3                4                8                0                7                
Vardas140        Pavardė140      4                2                5                1                0                7                10               3                1                8                10               9                7                9                4                9                
Vardas141        Pavardė141      10               7                5                3                7                7                10               4                4                6                9                1                2                7                2                5                
Vardas142        Pavardė142      8                6                1                9                1                9                4                4                10               8                9                1                8                10               0                9                
Vardas143        Pavardė143      8                10               0                0                8                1                8                4                4                9                5                2                8                4                8                6                
Vardas144        Pavardė144      6                1                5                0                10               7                3                6                9                6                2                2                10               6                9                6                
Vardas145        Pavardė145      8                4                4                4                3                8                6                3                3                8                2                1                1                5                1                10               
Vardas146        Pavardė146      4                6                1                1                2                9                2                9                2                0                0                7                5                6                6                6                
