Vardas              Pavardė            ND1              ND2              ND3              ND4              ND5              ND6              ND7              ND8              ND9              ND10             ND11             ND12             ND13             ND14             ND15             EGZ              
Vardas119           Pavardė119         9                9                9                8                5                1                7                1                2                7                1                3                9                6                7                2                
Vardas12            Pavardė12          9                9                2                4                9                5                0                0                3                2                1                0                0                1                3                7                
Vardas120           Pavardė120         1                7                5                6                3                0                3                3                8                9                10               6                9                3                6                1                
Vardas121           Pavardė121         10               3                8                2                2                6                1                3                0                3                3                0                9                4                0                9                
Vardas122           Pavardė122         7                7                6                2                1                6                2                5                3                7                0                4                2                3                8                1                
Vardas123           Pavardė123         5                5                10               1                2                10               5                8                1                5                10               6                10               1                1                8                
Vardas124           Pavardė124         4                5                8                9                2                9                9                7                1                6                8                4                8                4                10               7                
Vardas125           Pavardė125         6                1                5                7                7                5                2                2                7                6                4                9                7                10               7                2                
Vardas126           Pavardė126         2                0                2                1                7                5                9                3                3                8                10               6                4                8                2                6                
Vardas127           Pavardė127         9                9                10               1                1                9                5                0                5                0                2                10               4                4                10               7                
Vardas128           Pavardė128         2                0                8                6                8                4                1                4                5                7                1                8                10               3                2                3                
Vardas129           Pavardė129         2                1                3                3                6                1                10               4                6                0                8                5                0                4                6                6                
Vardas13            Pavardė13          3                4                1                8                5                10               7                8                10               6                9                6                2                9                3                5                
Vardas130           Pavardė130         10               6                5                2                0                3                9                8                9                2                9                4                7                2                3                10               
Vardas131           Pavardė131         5                2                2                3                2                4                2                3                4                7                4                9                3                8                3                6                
Vardas132           Pavardė132         4                8                8                8                8                6                8                2                0                2                6                7                9                0                1                9                
Vardas133           Pavardė133         4                1                0                4                2                9                1                1                9                9                10               3                4                2                4                10               
Vardas134           Pavardė134         3                5                0                6                9                0                4                4                5                4                9                2                5                8                10               4                
Vardas135           Pavardė135         10               2                10               4                2                8                9                7                0                4                3                5                0                1                7                6                
Vardas136           Pavardė136         10               4                7                4                7                1                2                9                0                9                5                2                1                2                3                8                
Vardas137           Pavardė137         7                7                2                1                8                4                1                5                6                3                1                1                4                7                2                4                
Vardas138           Pavardė138         0                0                9                4                0                8                5                3                8                7                10               4                7                4                0                9                
Vardas139           Pavardė139         4                3                0                7                5                0                6                3                7                8                3                2                8                3                9                8                
Vardas14            Pavardė14          8                3                10               2                7                4                6                4                7                8                3                1                6                8                1                6                
Vardas140           Pavardė140         1                6                5                4                4                9                4                8                3                5                2                4                8                6                10               2                
Vardas141           Pavardė141         1                10               8                1                10               6                1                5                5                4                4                3                7                2                9                0                
Vardas142           Pavardė142         3                7                9                1                0                2                8                9                5                9                4                5                10               2                9                9                
Vardas143           Pavardė143         5                1                9                10               5                10               3                3                2                5                2                7                6                5                3                0                
Vardas144           Pavardė144         6                1                7                8                9                1                7                2                9                8                10               2                5                1                6                2                
Vardas145           Pavardė145         6                3                2                10               8                9                2                2                10               8                9                0                0                5                8                9                
Vardas146           Pavardė146         9                0                0                1                10               5                4                1                9                4                6                7                9                7                2                0                
Vardas147           Pavardė147         9                9                2                7                7                3                6                8                3                10               1                1                7                2                3                5                
Vardas148           Pavardė148         0                2                8                3                0                10               1                9                2                1                3                1                9                3                7                0                
Vardas149           Pavardė149         2                8                0                9                2                4                8                8                7                5                6                4                2                2                3                7                
Vardas15            Pavardė15          1                1                0                8                2                0                4                9                4                4                3                9                1                4                7                10               
Vardas150           Pavardė150         2                10               6                1                0                9                4                6                9                5                8                2                10               10               9                2                
Vardas151           Pavardė151         10               6                1                10               7                0                8                7                0                2                3                1                9                2                0                2                
Vardas152           Pavardė152         1                1                5                5                6                4                8                10               1                6                7                9                0                5                7                0                
Vardas153           Pavardė153         7                6                1                5                9                10               4                10               0                4                5                2                5                5                2                0                
Vardas154           Pavardė154         10               4                7                9                8                7                10               6                8                10               6                2                3                0                5                7                
Vardas155           Pavardė155         8                9                7                4                3                10               4                6                9                4                1                10               9                1                7                0                
Vardas156           Pavardė156         9                0                9                7                3                4                3                9                8                4                2                9                8                9                3                4                
Vardas157           Pavardė157         7                6                6                2                10               6                5                5                10               9                2                6                9                6                0                0                
Vardas158           Pavardė158         8                0                4                8                6                7                9                10               8                2                9                7                10               5                5                9                
Vardas159           Pavardė159         3                1                2                1                3                9                6                1                8                2                5                8                4                5                6                1                
Vardas16            Pavardė16          6                8                9                0                4                5                6                6                3                7                4                9                3                10               4                2                
Vardas160           Pavardė160         4                2                4                7                9                7                4                8                7                3                7                10               10               2                8                2                
Vardas161           Pavardė161         3                4                3                4                9                4                5                7                5                9                9                5                3                7                6                8                
Vardas162           Pavardė162         8                1                3                6                0                4                3                3                7                7                2                0                6                6                10               2                
Vardas163           Pavardė163         1                3                9                2                3                10               8                5                9                7                0                2                0                10               1                1                
Vardas164           Pavardė164         3                9                6                8                9                9                8                4                4                3                5                3                8                8                2                9                
Vardas165           Pavardė165         3                5                4                8                3                2                2                6                7                10               2                9                3                3                9                9                
Vardas166           Pavardė166         6                5                9                0                7                10               9                0                7                3                2                0                8                6                1                5                
Vardas167           Pavardė167         7                1                2                8                10               6                4                8                1                5                4                3                3                7                10               6                
Vardas168           Pavardė168         6                0                3                5                0                7                9                8                2                4                2                0                10               7                9                5                
Vardas169           Pavardė169         6                7                0                10               8                8                9                9                8                2                1                9                2                4                4                10               
Vardas17            Pavardė17          3                3                10               9                1                9                6                5                0                6                3                1                7                10               7                1                
Vardas170           Pavardė170         6                0                1                5                6                5                10               4                4                10               7                4                4                7                2                1                
Vardas171           Pavardė171         8                5                6                8                6                10               5                8                9                6                4                2                3                10               6                0                
Vardas172           Pavardė172         10               10               5                3                1                0                1                6                8                1                7                2                7                3                1                10               
Vardas173           Pavardė173         1                3                6                7                1                3                3                4                5                5                1                9                5                3                9                3                
Vardas174           Pavardė174         2                3                6                5                3                5                0                6                2                9                6                6                4                3                10               8                
Vardas175           Pavardė175         10               0                0                10               7                9                6                4                5                5                9                5                3                5                3                0                
Vardas176           Pavardė176         3                1                2                0                7                2                10               9                7                0                8                10               3                5                1                0                
Vardas177           Pavardė177         0                6                1                7                10               3                5                9                8                6                10               9                1                6                4                1                
Vardas178           Pavardė178         1                9                8                7                5                8                0                0                0                8                8                1                2                8                9                9                
Vardas179           Pavardė179         1                8                2                0                6                7                7                0                5                8                4                3                0                8                0                10               
Vardas18            Pavardė18          9                9                1                1                9                6                6                4                9                3                2                3                5                10               3                1                
Vardas180           Pavardė180         2                4                4                7                2                7                9                8                2                6                5                9                6                3                4                3                
Vardas181           Pavardė181         9                9                0                9                3                7                8                3                5                2                10               4                6                7                0                2                
Vardas182           Pavardė182         2                3                6                0                10               4                9                6                3                2                4                1                3                4                4                7                
Vardas183           Pavardė183         6                7                4                6                8                7                8                5                1                3                8                6                9                1                1                0                
Vardas184           Pavardė184         5                10               9                6                6                5                10               10               10               9                6                2                6                8                3                3                
Vardas185           Pavardė185         2                8                5                2                3                10               6                4                8                0                5                3                4                4                4                4                
Vardas186           Pavardė186         5                9                6                6                3                10               6                10               6                4                5                2                10               8                0                1                
Vardas187           Pavardė187         2                1                6                8                6                4                7                3                0                8                9                4                6                3                7                10               
Vardas188           Pavardė188         10               2                9                3                1                5                8                1                0                1                7                8                7                2                3                3                
Vardas189           Pavardė189         5                2                6                8                10               7                9                1                4                6                2                10               9                9                4                1                
Vardas19            Pavardė19          1                7                3                2                2                3                0                10               3                0                1                2                8                9                4                5                
Vardas190           Pavardė190         5                0                6                7                10               10               2                3                6                10               8                5                9                6                6                4                
Vardas191           Pavardė191         4                10               7                0                2                4                6                9                4                10               4                4                1                7                1                9                
Vardas192           Pavardė192         6                6                10               8                10               8                2                8                2                1                9                10               9                9                5                0                
Vardas193           Pavardė193         3                7                2                1                8                7                0                10               7                9                8                8                5                0                10               6                
Vardas194           Pavardė194         5                4                2                8                1                10               4                1                3                9                1                5                0                2                0                7                
Vardas195           Pavardė195         2                2                6                10               8                3                0                7                10               8                2                9                6                8                5                9                
Vardas196           Pavardė196         2                10               1                3                8                3                0                5                1                4                1                7                2                8                0                8                
Vardas197           Pavardė197         8                0                7                7                5                6                9                7                2                5                7                4                3                1                6                3                
Vardas198           Pavardė198         1                1                9                0                8                7                0                4                10               5                8                1                9                9                1                0                
Vardas199           Pavardė199         9                6                10               6                1                3                3                5                3                4                10               0                0                6                0                3                
Vardas2             Pavardė2           10               7                2                2                4                5                7                9                4                7                4                4                6                10               9                8                
Vardas20            Pavardė20          6                8                5                8                4                9                6                2                3                0                2                8                6                10               7                8                
Vardas200           Pavardė200         2                9                5                7                0                9                2                0                1                0                8                10               6                9                0                0                
Vardas201           Pavardė201         3                5                6                8                10               5                6                0                10               8                1                7                0                5                2                1                
Vardas202           Pavardė202         1                0                2                0                10               3                7                5                7                10               5                9                1                7                1                9                
Vardas203           Pavardė203         3                10               6                7                1                0                3                10               0                8                0                5                7                9                1                4                
Vardas204           Pavardė204         9                1                6                2                6                5                9                8                5                3                8                6                3                7                2                6                
Vardas205           Pavardė205         1                6                10               1                3                10               3                6                5                1                6                0                9                0                6                2                
Vardas206           Pavardė206         0                8                9                10               4                7                3                6                8                5                1                3                8                4                1                6                
Vardas207           Pavardė207         1                0                4                7                0                3                7                0                6                0                0                8                1                0                2                9                
Vardas208           Pavardė208         6                8                0                9                3                4                7                2                9                7                8                2                9                10               7                5                
Vardas209           Pavardė209         0                7                9                4                4                5                3                6                0                6                8                7                9                0                8                2                
Vardas21            Pavardė21          9                9                6                0                4                5                2                5                2                8                7                3                2                0                10               9                
Vardas210           Pavardė210         9                5                3                4                1                10               1                5                3                10               3                5                8                10               4                8                
Vardas211           Pavardė211         10               6                6                2                4                0                0                6                9                2                4                5                5                5                5                2                
Vardas212           Pavardė212         4                2                5                7                2                7                1                7                7                3                0                0                3                4                8                4                
Vardas213           Pavardė213         7                1                8                8                10               10               4                3                8                2                10               3                6                10               1                2                
Vardas214           Pavardė214         0                1                3                7                4                4                4                2                8                1                7                9                0                0                5                3                
Vardas215           Pavardė215         1                6                7                1                10               6                1                2                6                4                1                5                4                7                0                2                
Vardas216           Pavardė216         6                0                7                3                10               0                5                0                10               5                7                4                5                5                7                2                
Vardas217           Pavardė217         9                0                7                10               6                1                9                4                1                0                4                1                0                3                1                4                
Vardas218           Pavardė218         9                2                3                7                7                10               8                9                1                10               0                8                1                7                2                7                
Vardas219           Pavardė219         4                5                3                6                9                7                0                7                8                8                4                5                2                9                3                9                
Vardas22            Pavardė22          9                6                4                4                1                8                1                0                9                4                5                2                8                5                3                5                
Vardas220           Pavardė220         6                1                4                3                4                1                4                1                8                5                1                1                2                2                1                4                
Vardas221           Pavardė221         6                8                7                6                3                3                0                2                1                5                4                5                1                1                8                2                
Vardas222           Pavardė222         4                2                4                8                8                2                6                5                7                4                3                0                6                5                9                10               
Vardas223           Pavardė223         9                0                8                6                8                8                5                0                1                1                7                4                2                10               3                3                
Vardas224           Pavardė224         4                1                2                10               4                2                4                10               6                8                4                7                6                3                5                6                
Vardas225           Pavardė225         8                7                0                2                9                6                3                10               5                2                4                5                2                4                6                4                
Vardas226           Pavardė226         9                3                8                6                4                8                10               10               1                9                1                2                10               7                3                8                
