Pavardė       Vardas         Galutinis (vid.)    Galutinis (med.)    
Pavardė732   Vardas732      4.28                4.60                
Pavardė733   Vardas733      4.72                4.40                
Pavardė734   Vardas734      3.88                3.80                
Pavardė740   Vardas740      1.44                0.80                
Pavardė743   Vardas743      4.20                3.80                
Pavardė747   Vardas747      4.84                4.60                
Pavardė748   Vardas748      3.16                3.40                
Pavardė75    Vardas75       4.60                4.20                
Pavardė753   Vardas753      2.96                3.20                
Pavardė754   Vardas754      2.88                2.80                
Pavardė755   Vardas755      4.24                4.40                
Pavardė759   Vardas759      3.28                3.20                
Pavardė76    Vardas76       3.48                2.60                
Pavardė761   Vardas761      2.40                2.00                
Pavardė766   Vardas766      3.36                4.00                
Pavardė768   Vardas768      3.04                3.20                
Pavardė770   Vardas770      2.72                3.20                
Pavardė771   Vardas771      3.08                3.40                
Pavardė775   Vardas775      3.16                3.40                
Pavardė778   Vardas778      3.88                3.40                
Pavardė780   Vardas780      4.00                4.00                
Pavardė781   Vardas781      4.08                4.80                
Pavardė783   Vardas783      2.48                2.80                
Pavardė784   Vardas784      1.04                1.20                
Pavardė786   Vardas786      2.20                1.00                
Pavardė789   Vardas789      3.56                3.40                
Pavardė791   Vardas791      4.88                4.00                
Pavardė792   Vardas792      2.28                1.40                
Pavardė793   Vardas793      2.72                3.20                
Pavardė796   Vardas796      4.72                4.80                
Pavardė797   Vardas797      3.32                3.40                
Pavardė798   Vardas798      3.68                3.20                
Pavardė799   Vardas799      2.56                2.40                
Pavardė8     Vardas8        4.20                5.00                
Pavardė80    Vardas80       2.76                3.00                
Pavardė802   Vardas802      4.44                4.60                
Pavardė803   Vardas803      1.92                1.60                
Pavardė804   Vardas804      1.20                0.40                
Pavardė805   Vardas805      3.64                3.40                
Pavardė806   Vardas806      3.48                3.80                
Pavardė808   Vardas808      2.88                2.40                
Pavardė809   Vardas809      3.76                4.40                
Pavardė810   Vardas810      1.88                1.80                
Pavardė811   Vardas811      4.36                4.60                
Pavardė812   Vardas812      4.52                4.60                
Pavardė813   Vardas813      4.52                4.60                
Pavardė815   Vardas815      1.36                0.80                
Pavardė819   Vardas819      4.04                3.40                
Pavardė82    Vardas82       4.60                4.60                
Pavardė821   Vardas821      2.92                3.40                
Pavardė822   Vardas822      3.52                2.80                
Pavardė824   Vardas824      2.16                2.00                
Pavardė825   Vardas825      4.72                5.20                
Pavardė829   Vardas829      4.80                6.00                
Pavardė83    Vardas83       2.76                3.00                
Pavardė831   Vardas831      3.28                3.60                
Pavardė832   Vardas832      4.08                4.00                
Pavardė833   Vardas833      4.28                4.20                
Pavardė834   Vardas834      4.40                4.00                
Pavardė839   Vardas839      4.40                4.40                
Pavardė841   Vardas841      4.40                4.00                
Pavardė843   Vardas843      2.72                2.40                
Pavardė844   Vardas844      4.96                4.80                
Pavardė846   Vardas846      4.00                4.00                
Pavardė847   Vardas847      3.04                2.80                
Pavardė849   Vardas849      3.64                3.00                
Pavardė850   Vardas850      2.08                2.00                
Pavardė854   Vardas854      4.72                5.20                
Pavardė857   Vardas857      3.80                3.40                
Pavardė86    Vardas86       2.88                2.00                
Pavardė860   Vardas860      2.20                1.40                
Pavardė861   Vardas861      1.92                1.20                
Pavardė863   Vardas863      3.96                4.20                
Pavardė865   Vardas865      4.92                5.00                
Pavardė866   Vardas866      3.40                3.40                
Pavardė87    Vardas87       3.72                4.60                
Pavardė870   Vardas870      2.64                2.40                
Pavardė871   Vardas871      3.40                4.20                
Pavardė874   Vardas874      4.84                4.60                
Pavardė875   Vardas875      2.00                1.60                
Pavardė877   Vardas877      2.44                3.00                
Pavardė878   Vardas878      4.80                4.40                
Pavardė879   Vardas879      3.92                3.60                
Pavardė88    Vardas88       2.96                3.20                
Pavardė882   Vardas882      2.24                2.00                
Pavardė883   Vardas883      2.56                3.20                
Pavardė888   Vardas888      1.80                1.80                
Pavardė890   Vardas890      3.96                3.80                
Pavardė891   Vardas891      3.96                4.20                
Pavardė892   Vardas892      3.28                3.20                
Pavardė893   Vardas893      4.40                4.00                
Pavardė897   Vardas897      3.24                3.00                
Pavardė898   Vardas898      3.96                3.80                
Pavardė90    Vardas90       3.20                3.60                
Pavardė903   Vardas903      3.00                3.00                
Pavardė904   Vardas904      3.36                3.20                
Pavardė905   Vardas905      1.92                1.60                
Pavardė906   Vardas906      4.12                4.20                
Pavardė91    Vardas91       3.76                3.60                
Pavardė911   Vardas911      2.12                1.40                
Pavardė915   Vardas915      4.92                5.00                
Pavardė917   Vardas917      4.16                3.60                
Pavardė919   Vardas919      4.80                5.60                
Pavardė921   Vardas921      4.16                4.40                
Pavardė924   Vardas924      4.00                3.60                
Pavardė929   Vardas929      4.92                5.00                
Pavardė930   Vardas930      3.80                3.40                
Pavardė931   Vardas931      4.92                5.00                
Pavardė932   Vardas932      4.04                4.60                
Pavardė934   Vardas934      0.88                0.80                
Pavardė935   Vardas935      2.28                2.60                
Pavardė936   Vardas936      2.60                1.80                
Pavardė937   Vardas937      3.12                2.80                
Pavardė941   Vardas941      2.76                2.60                
Pavardė943   Vardas943      2.88                2.40                
Pavardė944   Vardas944      4.36                3.40                
Pavardė945   Vardas945      2.40                2.00                
Pavardė948   Vardas948      1.68                1.20                
Pavardė949   Vardas949      4.24                4.00                
Pavardė95    Vardas95       4.64                3.60                
Pavardė950   Vardas950      3.44                2.80                
Pavardė951   Vardas951      4.24                4.40                
Pavardė952   Vardas952      4.64                4.80                
Pavardė953   Vardas953      3.92                4.00                
Pavardė954   Vardas954      4.40                4.40                
Pavardė955   Vardas955      1.52                0.40                
Pavardė960   Vardas960      4.12                4.20                
Pavardė961   Vardas961      3.72                3.80                
Pavardė962   Vardas962      2.80                2.80                
Pavardė963   Vardas963      2.60                2.60                
Pavardė964   Vardas964      4.24                4.00                
Pavardė965   Vardas965      4.00                3.60                
Pavardė967   Vardas967      4.88                4.40                
Pavardė968   Vardas968      1.48                1.40                
Pavardė97    Vardas97       4.08                3.60                
Pavardė970   Vardas970      3.72                3.80                
Pavardė971   Vardas971      3.32                3.00                
Pavardė974   Vardas974      2.24                2.80                
Pavardė982   Vardas982      3.32                3.80                
Pavardė984   Vardas984      3.48                4.20                
Pavardė986   Vardas986      4.52                4.20                
Pavardė987   Vardas987      4.72                4.40                
Pavardė988   Vardas988      2.60                3.00                
Pavardė989   Vardas989      3.44                3.60                
Pavardė99    Vardas99       0.56                0.40                
Pavardė992   Vardas992      4.84                5.40                
Pavardė999   Vardas999      2.12                1.80                
