Pavardė            Vardas              Galutinis (vid.)    
Pavardė429         Vardas429           6.07                
Pavardė432         Vardas432           8.37                
Pavardė433         Vardas433           8.13                
Pavardė436         Vardas436           5.00                
Pavardė437         Vardas437           5.91                
Pavardė438         Vardas438           5.93                
Pavardė439         Vardas439           7.79                
Pavardė44          Vardas44            7.25                
Pavardė441         Vardas441           7.08                
Pavardė444         Vardas444           6.05                
Pavardė445         Vardas445           5.64                
Pavardė446         Vardas446           7.35                
Pavardė45          Vardas45            5.33                
Pavardė450         Vardas450           5.43                
Pavardė451         Vardas451           7.71                
Pavardė452         Vardas452           7.85                
Pavardė453         Vardas453           6.68                
Pavardė457         Vardas457           5.05                
Pavardė461         Vardas461           8.51                
Pavardė462         Vardas462           7.15                
Pavardė463         Vardas463           7.85                
Pavardė465         Vardas465           7.13                
Pavardė466         Vardas466           7.39                
Pavardė467         Vardas467           7.41                
Pavardė468         Vardas468           5.35                
Pavardė469         Vardas469           6.79                
Pavardė470         Vardas470           6.48                
Pavardė471         Vardas471           5.09                
Pavardė472         Vardas472           7.37                
Pavardė473         Vardas473           6.93                
Pavardė474         Vardas474           7.29                
Pavardė477         Vardas477           7.36                
Pavardė478         Vardas478           6.75                
Pavardė483         Vardas483           7.79                
Pavardė485         Vardas485           7.04                
Pavardė489         Vardas489           6.96                
Pavardė49          Vardas49            5.77                
Pavardė491         Vardas491           7.75                
Pavardė493         Vardas493           5.99                
Pavardė494         Vardas494           6.91                
Pavardė497         Vardas497           5.85                
Pavardė498         Vardas498           8.03                
Pavardė499         Vardas499           7.40                
Pavardė50          Vardas50            7.89                
Pavardė500         Vardas500           8.29                
Pavardė502         Vardas502           8.00                
Pavardė503         Vardas503           6.04                
Pavardė507         Vardas507           5.65                
Pavardė509         Vardas509           6.04                
Pavardė510         Vardas510           5.96                
Pavardė512         Vardas512           6.91                
Pavardė514         Vardas514           5.84                
Pavardė517         Vardas517           6.63                
Pavardė52          Vardas52            6.85                
Pavardė520         Vardas520           5.71                
Pavardė522         Vardas522           7.47                
Pavardė524         Vardas524           7.59                
Pavardė525         Vardas525           7.76                
Pavardė527         Vardas527           8.29                
Pavardė53          Vardas53            6.99                
Pavardė530         Vardas530           6.23                
Pavardė536         Vardas536           7.35                
Pavardė537         Vardas537           5.25                
Pavardė539         Vardas539           5.47                
Pavardė544         Vardas544           6.33                
Pavardė545         Vardas545           7.32                
Pavardė546         Vardas546           7.97                
Pavardė550         Vardas550           6.88                
Pavardė553         Vardas553           7.12                
Pavardė554         Vardas554           7.83                
Pavardė555         Vardas555           5.37                
Pavardė56          Vardas56            6.93                
Pavardė562         Vardas562           5.09                
Pavardė564         Vardas564           5.71                
Pavardė566         Vardas566           6.75                
Pavardė569         Vardas569           7.73                
Pavardė57          Vardas57            7.48                
Pavardė570         Vardas570           7.61                
Pavardė571         Vardas571           8.53                
Pavardė573         Vardas573           5.60                
Pavardė574         Vardas574           7.45                
Pavardė576         Vardas576           5.44                
Pavardė577         Vardas577           7.43                
Pavardė578         Vardas578           6.04                
Pavardė579         Vardas579           5.96                
Pavardė583         Vardas583           7.21                
Pavardė584         Vardas584           7.27                
Pavardė585         Vardas585           5.28                
Pavardė587         Vardas587           7.20                
Pavardė592         Vardas592           7.97                
Pavardė593         Vardas593           5.79                
Pavardė594         Vardas594           6.44                
Pavardė598         Vardas598           6.25                
Pavardė60          Vardas60            8.75                
Pavardė601         Vardas601           6.65                
Pavardė604         Vardas604           5.83                
Pavardė605         Vardas605           5.73                
Pavardė606         Vardas606           6.09                
Pavardė608         Vardas608           6.25                
Pavardė610         Vardas610           7.57                
Pavardė614         Vardas614           6.05                
Pavardė615         Vardas615           7.41                
Pavardė616         Vardas616           7.53                
Pavardė617         Vardas617           6.89                
Pavardė619         Vardas619           7.80                
Pavardė620         Vardas620           7.03                
Pavardė621         Vardas621           6.55                
Pavardė622         Vardas622           7.07                
Pavardė625         Vardas625           5.36                
Pavardė628         Vardas628           5.65                
Pavardė629         Vardas629           5.71                
Pavardė63          Vardas63            5.44                
Pavardė632         Vardas632           5.89                
Pavardė634         Vardas634           8.16                
Pavardė635         Vardas635           6.28                
Pavardė636         Vardas636           5.36                
Pavardė640         Vardas640           6.75                
Pavardė642         Vardas642           7.11                
Pavardė643         Vardas643           6.69                
Pavardė644         Vardas644           5.87                
Pavardė645         Vardas645           7.88                
Pavardė646         Vardas646           6.04                
Pavardė648         Vardas648           7.40                
Pavardė649         Vardas649           5.67                
Pavardė650         Vardas650           5.15                
Pavardė651         Vardas651           6.45                
Pavardė652         Vardas652           8.43                
Pavardė654         Vardas654           6.40                
Pavardė655         Vardas655           7.92                
Pavardė657         Vardas657           6.11                
Pavardė658         Vardas658           7.84                
Pavardė659         Vardas659           5.41                
Pavardė660         Vardas660           5.56                
Pavardė661         Vardas661           5.32                
Pavardė663         Vardas663           5.05                
Pavardė664         Vardas664           8.11                
Pavardė665         Vardas665           8.35                
Pavardė667         Vardas667           7.01                
Pavardė668         Vardas668           6.49                
Pavardė679         Vardas679           5.27                
Pavardė680         Vardas680           6.96                
Pavardė681         Vardas681           6.57                
Pavardė682         Vardas682           6.83                
Pavardė686         Vardas686           8.07                
Pavardė689         Vardas689           5.28                
Pavardė69          Vardas69            5.99                
Pavardė693         Vardas693           7.37                
Pavardė694         Vardas694           5.39                
Pavardė696         Vardas696           7.85                
Pavardė698         Vardas698           7.53                
Pavardė7           Vardas7             7.81                
Pavardė70          Vardas70            5.32                
Pavardė701         Vardas701           8.29                
Pavardė702         Vardas702           6.67                
Pavardė704         Vardas704           5.32                
Pavardė705         Vardas705           5.35                
Pavardė707         Vardas707           7.89                
Pavardė71          Vardas71            5.73                
Pavardė710         Vardas710           8.11                
Pavardė712         Vardas712           7.13                
Pavardė716         Vardas716           7.95                
Pavardė717         Vardas717           7.16                
Pavardė718         Vardas718           6.04                
Pavardė719         Vardas719           7.45                
Pavardė722         Vardas722           5.45                
Pavardė724         Vardas724           5.27                
Pavardė726         Vardas726           8.72                
Pavardė728         Vardas728           5.09                
Pavardė73          Vardas73            7.21                
Pavardė730         Vardas730           5.97                
Pavardė731         Vardas731           5.11                
Pavardė732         Vardas732           5.59                
Pavardė733         Vardas733           6.72                
Pavardė734         Vardas734           6.89                
Pavardė736         Vardas736           8.56                
Pavardė737         Vardas737           5.87                
Pavardė739         Vardas739           6.83                
Pavardė74          Vardas74            5.20                
Pavardė742         Vardas742           7.05                
Pavardė745         Vardas745           8.15                
Pavardė749         Vardas749           6.48                
Pavardė751         Vardas751           7.20                
Pavardė752         Vardas752           6.68                
Pavardė755         Vardas755           5.92                
Pavardė756         Vardas756           5.03                
Pavardė758         Vardas758           6.08                
Pavardė759         Vardas759           5.55                
Pavardė761         Vardas761           7.89                
Pavardė763         Vardas763           5.89                
Pavardė767         Vardas767           6.83                
Pavardė769         Vardas769           5.73                
Pavardė77          Vardas77            5.20                
Pavardė770         Vardas770           6.59                
Pavardė771         Vardas771           6.88                
Pavardė774         Vardas774           8.99                
Pavardė775         Vardas775           5.33                
Pavardė776         Vardas776           6.57                
Pavardė778         Vardas778           5.00                
Pavardė779         Vardas779           8.40                
Pavardė780         Vardas780           7.33                
Pavardė783         Vardas783           7.44                
Pavardė784         Vardas784           5.35                
Pavardė785         Vardas785           6.61                
Pavardė786         Vardas786           7.05                
Pavardė789         Vardas789           7.40                
Pavardė793         Vardas793           6.15                
Pavardė794         Vardas794           7.57                
Pavardė795         Vardas795           5.60                
Pavardė797         Vardas797           6.00                
Pavardė798         Vardas798           7.61                
Pavardė799         Vardas799           5.80                
Pavardė8           Vardas8             6.97                
Pavardė80          Vardas80            6.97                
Pavardė802         Vardas802           6.83                
Pavardė803         Vardas803           7.59                
Pavardė805         Vardas805           6.87                
Pavardė806         Vardas806           6.61                
Pavardė81          Vardas81            8.16                
Pavardė812         Vardas812           6.88                
Pavardė814         Vardas814           7.12                
Pavardė817         Vardas817           7.17                
Pavardė818         Vardas818           5.43                
Pavardė819         Vardas819           5.59                
Pavardė820         Vardas820           5.85                
Pavardė821         Vardas821           7.11                
Pavardė823         Vardas823           7.35                
Pavardė824         Vardas824           7.68                
Pavardė825         Vardas825           6.41                
Pavardė826         Vardas826           5.24                
Pavardė828         Vardas828           5.07                
Pavardė830         Vardas830           6.23                
Pavardė835         Vardas835           8.05                
Pavardė838         Vardas838           7.13                
Pavardė839         Vardas839           8.53                
Pavardė84          Vardas84            5.55                
Pavardė840         Vardas840           7.45                
Pavardė841         Vardas841           5.39                
Pavardė842         Vardas842           5.27                
Pavardė843         Vardas843           5.53                
Pavardė844         Vardas844           7.12                
Pavardė846         Vardas846           7.37                
Pavardė847         Vardas847           5.92                
Pavardė85          Vardas85            8.32                
Pavardė854         Vardas854           5.52                
Pavardė856         Vardas856           7.16                
Pavardė857         Vardas857           6.28                
Pavardė858         Vardas858           7.84                
Pavardė859         Vardas859           7.16                
Pavardė864         Vardas864           8.32                
Pavardė868         Vardas868           5.56                
Pavardė869         Vardas869           7.92                
Pavardė87          Vardas87            7.08                
Pavardė870         Vardas870           6.23                
Pavardė875         Vardas875           7.05                
Pavardė876         Vardas876           7.12                
Pavardė877         Vardas877           5.36                
Pavardė878         Vardas878           5.71                
Pavardė880         Vardas880           5.97                
Pavardė881         Vardas881           6.77                
Pavardė882         Vardas882           6.97                
Pavardė883         Vardas883           6.16                
Pavardė884         Vardas884           7.60                
Pavardė886         Vardas886           5.79                
Pavardė887         Vardas887           5.60                
Pavardė888         Vardas888           8.43                
Pavardė891         Vardas891           7.64                
Pavardė896         Vardas896           6.17                
Pavardė898         Vardas898           6.03                
Pavardė899         Vardas899           6.01                
Pavardė9           Vardas9             8.27                
Pavardė902         Vardas902           6.64                
Pavardė906         Vardas906           8.00                
Pavardė908         Vardas908           6.44                
Pavardė909         Vardas909           5.88                
Pavardė91          Vardas91            8.32                
Pavardė911         Vardas911           6.69                
Pavardė913         Vardas913           6.00                
Pavardė914         Vardas914           5.55                
Pavardė915         Vardas915           7.67                
Pavardė916         Vardas916           5.05                
Pavardė92          Vardas92            7.71                
Pavardė924         Vardas924           8.29                
Pavardė925         Vardas925           6.00                
Pavardė926         Vardas926           5.91                
Pavardė927         Vardas927           5.23                
Pavardė929         Vardas929           5.93                
Pavardė930         Vardas930           7.68                
Pavardė931         Vardas931           6.17                
Pavardė932         Vardas932           7.59                
Pavardė933         Vardas933           5.12                
Pavardė934         Vardas934           8.29                
Pavardė939         Vardas939           5.15                
Pavardė94          Vardas94            7.37                
Pavardė940         Vardas940           5.35                
Pavardė941         Vardas941           7.59                
Pavardė942         Vardas942           7.95                
Pavardė944         Vardas944           6.29                
Pavardė946         Vardas946           6.69                
Pavardė947         Vardas947           6.89                
Pavardė949         Vardas949           7.37                
Pavardė950         Vardas950           6.01                
Pavardė953         Vardas953           5.67                
Pavardė954         Vardas954           6.32                
Pavardė955         Vardas955           7.01                
Pavardė960         Vardas960           8.03                
Pavardė966         Vardas966           5.93                
Pavardė968         Vardas968           7.32                
Pavardė969         Vardas969           6.99                
Pavardė97          Vardas97            6.99                
Pavardė971         Vardas971           7.05                
Pavardė972         Vardas972           5.08                
Pavardė973         Vardas973           6.96                
Pavardė974         Vardas974           6.76                
Pavardė975         Vardas975           8.24                
Pavardė976         Vardas976           5.05                
Pavardė979         Vardas979           6.64                
Pavardė98          Vardas98            6.36                
Pavardė980         Vardas980           5.08                
Pavardė982         Vardas982           8.13                
Pavardė984         Vardas984           5.51                
Pavardė986         Vardas986           7.68                
Pavardė989         Vardas989           6.17                
Pavardė992         Vardas992           7.11                
Pavardė994         Vardas994           7.09                
Pavardė995         Vardas995           6.52                
Pavardė998         Vardas998           7.73                
Pavardė999         Vardas999           6.03                
